#x,with,Background,without,Background,Factor,difference
2,0.0145,0.005,0.0387,0.01,9.76,0.0192
5,0.0282,0.005,0.0859,0.01,9.76,0.0527
10,0.0514,0.005,0.186,0.01,9.76,0.1296
20,0.098,0.005,0.391,0.01,9.76,0.288
30,0.1447,0.005,0.59,0.01,9.76,0.4403
40,0.1915,0.005,0.76,0.01,9.76,0.5635
50,0.2385,0.005,0.919,0.01,9.76,0.6755
