x-axis,V_INC,V_OUT
second,Volt,Volt
-3.09412000E+00,-312.50000E-03,+125.00000E-03
-3.09408000E+00,-156.25000E-03,+62.50000E-03
-3.09404000E+00,-312.50000E-03,+62.50000E-03
-3.09400000E+00,-156.25000E-03,+125.00000E-03
-3.09396000E+00,-312.50000E-03,+125.00000E-03
-3.09392000E+00,-312.50000E-03,+62.50000E-03
-3.09388000E+00,-156.25000E-03,+62.50000E-03
-3.09384000E+00,-312.50000E-03,+187.50000E-03
-3.09380000E+00,-156.25000E-03,+62.50000E-03
-3.09376000E+00,-156.25000E-03,+62.50000E-03
-3.09372000E+00,-156.25000E-03,+0.0E+00
-3.09368000E+00,-156.25000E-03,+62.50000E-03
-3.09364000E+00,-156.25000E-03,+0.0E+00
-3.09360000E+00,-156.25000E-03,+62.50000E-03
-3.09356000E+00,-156.25000E-03,+62.50000E-03
-3.09352000E+00,-312.50000E-03,+125.00000E-03
-3.09348000E+00,-156.25000E-03,+62.50000E-03
-3.09344000E+00,-312.50000E-03,+125.00000E-03
-3.09340000E+00,-156.25000E-03,+125.00000E-03
-3.09336000E+00,-312.50000E-03,+0.0E+00
-3.09332000E+00,-312.50000E-03,+125.00000E-03
-3.09328000E+00,-156.25000E-03,+62.50000E-03
-3.09324000E+00,-312.50000E-03,+62.50000E-03
-3.09320000E+00,-0.0E+00,+62.50000E-03
-3.09316000E+00,-156.25000E-03,+62.50000E-03
-3.09312000E+00,-156.25000E-03,+62.50000E-03
-3.09308000E+00,-312.50000E-03,+125.00000E-03
-3.09304000E+00,-312.50000E-03,+62.50000E-03
-3.09300000E+00,-156.25000E-03,+62.50000E-03
-3.09296000E+00,-312.50000E-03,+62.50000E-03
-3.09292000E+00,-156.25000E-03,+125.00000E-03
-3.09288000E+00,-312.50000E-03,+62.50000E-03
-3.09284000E+00,-156.25000E-03,+125.00000E-03
-3.09280000E+00,-156.25000E-03,+62.50000E-03
-3.09276000E+00,-156.25000E-03,+62.50000E-03
-3.09272000E+00,-156.25000E-03,+62.50000E-03
-3.09268000E+00,-156.25000E-03,+125.00000E-03
-3.09264000E+00,-312.50000E-03,+62.50000E-03
-3.09260000E+00,-156.25000E-03,+62.50000E-03
-3.09256000E+00,-0.0E+00,+62.50000E-03
-3.09252000E+00,-156.25000E-03,+62.50000E-03
-3.09248000E+00,-156.25000E-03,+62.50000E-03
-3.09244000E+00,-312.50000E-03,+62.50000E-03
-3.09240000E+00,-312.50000E-03,+62.50000E-03
-3.09236000E+00,-156.25000E-03,+125.00000E-03
-3.09232000E+00,-156.25000E-03,+62.50000E-03
-3.09228000E+00,-312.50000E-03,+62.50000E-03
-3.09224000E+00,-156.25000E-03,+62.50000E-03
-3.09220000E+00,-156.25000E-03,+125.00000E-03
-3.09216000E+00,-312.50000E-03,+0.0E+00
-3.09212000E+00,-312.50000E-03,+125.00000E-03
-3.09208000E+00,-312.50000E-03,+125.00000E-03
-3.09204000E+00,-0.0E+00,+125.00000E-03
-3.09200000E+00,-156.25000E-03,+62.50000E-03
-3.09196000E+00,-156.25000E-03,+62.50000E-03
-3.09192000E+00,-156.25000E-03,+62.50000E-03
-3.09188000E+00,-156.25000E-03,+125.00000E-03
-3.09184000E+00,-156.25000E-03,+125.00000E-03
-3.09180000E+00,-156.25000E-03,+62.50000E-03
-3.09176000E+00,-156.25000E-03,+125.00000E-03
-3.09172000E+00,-156.25000E-03,+62.50000E-03
-3.09168000E+00,-0.0E+00,+62.50000E-03
-3.09164000E+00,-312.50000E-03,+62.50000E-03
-3.09160000E+00,-312.50000E-03,+125.00000E-03
-3.09156000E+00,-0.0E+00,+125.00000E-03
-3.09152000E+00,+0.0E+00,+125.00000E-03
-3.09148000E+00,-312.50000E-03,+62.50000E-03
-3.09144000E+00,-0.0E+00,+62.50000E-03
-3.09140000E+00,-312.50000E-03,+62.50000E-03
-3.09136000E+00,-0.0E+00,+125.00000E-03
-3.09132000E+00,-156.25000E-03,+125.00000E-03
-3.09128000E+00,-156.25000E-03,+62.50000E-03
-3.09124000E+00,-156.25000E-03,+125.00000E-03
-3.09120000E+00,-312.50000E-03,+0.0E+00
-3.09116000E+00,-156.25000E-03,+125.00000E-03
-3.09112000E+00,-0.0E+00,+125.00000E-03
-3.09108000E+00,-156.25000E-03,+62.50000E-03
-3.09104000E+00,-156.25000E-03,+62.50000E-03
-3.09100000E+00,-156.25000E-03,+125.00000E-03
-3.09096000E+00,-156.25000E-03,+0.0E+00
-3.09092000E+00,-312.50000E-03,+62.50000E-03
-3.09088000E+00,-312.50000E-03,+62.50000E-03
-3.09084000E+00,-156.25000E-03,+62.50000E-03
-3.09080000E+00,-312.50000E-03,+62.50000E-03
-3.09076000E+00,-156.25000E-03,+125.00000E-03
-3.09072000E+00,-156.25000E-03,+125.00000E-03
-3.09068000E+00,-312.50000E-03,+62.50000E-03
-3.09064000E+00,-0.0E+00,+62.50000E-03
-3.09060000E+00,-156.25000E-03,+62.50000E-03
-3.09056000E+00,-312.50000E-03,+125.00000E-03
-3.09052000E+00,-156.25000E-03,+125.00000E-03
-3.09048000E+00,-312.50000E-03,+62.50000E-03
-3.09044000E+00,-312.50000E-03,+62.50000E-03
-3.09040000E+00,-156.25000E-03,+125.00000E-03
-3.09036000E+00,-156.25000E-03,+62.50000E-03
-3.09032000E+00,-312.50000E-03,+125.00000E-03
-3.09028000E+00,-312.50000E-03,+62.50000E-03
-3.09024000E+00,-156.25000E-03,+62.50000E-03
-3.09020000E+00,-156.25000E-03,+62.50000E-03
-3.09016000E+00,-312.50000E-03,+125.00000E-03
-3.09012000E+00,-312.50000E-03,+62.50000E-03
-3.09008000E+00,-156.25000E-03,+125.00000E-03
-3.09004000E+00,-312.50000E-03,+0.0E+00
-3.09000000E+00,-156.25000E-03,+125.00000E-03
-3.08996000E+00,-156.25000E-03,+125.00000E-03
-3.08992000E+00,-156.25000E-03,+125.00000E-03
