x-axis,VREF,VDD1V2
second,Volt,Volt
-3.2242000E+00,-314.9996E-03,-31.2500E-03
-3.2241000E+00,-158.7496E-03,-187.5000E-03
-3.2240000E+00,-314.9996E-03,-31.2500E-03
-3.2239000E+00,-471.2496E-03,-187.5000E-03
-3.2238000E+00,-158.7496E-03,+125.0000E-03
-3.2237000E+00,-314.9996E-03,-187.5000E-03
-3.2236000E+00,-158.7496E-03,-31.2500E-03
-3.2235000E+00,-158.7496E-03,-343.7500E-03
-3.2234000E+00,-314.9996E-03,-31.2500E-03
-3.2233000E+00,-158.7496E-03,-187.5000E-03
-3.2232000E+00,-158.7496E-03,-31.2500E-03
-3.2231000E+00,-471.2496E-03,-31.2500E-03
-3.2230000E+00,-314.9996E-03,-187.5000E-03
-3.2229000E+00,-314.9996E-03,-187.5000E-03
-3.2228000E+00,-158.7496E-03,-31.2500E-03
-3.2227000E+00,-158.7496E-03,-187.5000E-03
-3.2226000E+00,-314.9996E-03,-31.2500E-03
-3.2225000E+00,-314.9996E-03,-31.2500E-03
-3.2224000E+00,-314.9996E-03,-31.2500E-03
-3.2223000E+00,-314.9996E-03,-187.5000E-03
-3.2222000E+00,-314.9996E-03,-187.5000E-03
-3.2221000E+00,-314.9996E-03,-187.5000E-03
-3.2220000E+00,-314.9996E-03,-31.2500E-03
-3.2219000E+00,-314.9996E-03,-31.2500E-03
-3.2218000E+00,-314.9996E-03,-187.5000E-03
-3.2217000E+00,-314.9996E-03,-31.2500E-03
-3.2216000E+00,-158.7496E-03,-343.7500E-03
-3.2215000E+00,-314.9996E-03,-31.2500E-03
-3.2214000E+00,-314.9996E-03,-187.5000E-03
-3.2213000E+00,-158.7496E-03,-31.2500E-03
-3.2212000E+00,-314.9996E-03,-31.2500E-03
-3.2211000E+00,-314.9996E-03,-187.5000E-03
-3.2210000E+00,-314.9996E-03,-31.2500E-03
-3.2209000E+00,-158.7496E-03,-31.2500E-03
-3.2208000E+00,-314.9996E-03,-31.2500E-03
-3.2207000E+00,-314.9996E-03,-31.2500E-03
-3.2206000E+00,-314.9996E-03,-187.5000E-03
-3.2205000E+00,-158.7496E-03,-31.2500E-03
-3.2204000E+00,-158.7496E-03,-31.2500E-03
-3.2203000E+00,-158.7496E-03,-31.2500E-03
-3.2202000E+00,-158.7496E-03,-187.5000E-03
-3.2201000E+00,-314.9996E-03,-31.2500E-03
-3.2200000E+00,-314.9996E-03,-31.2500E-03
-3.2199000E+00,-314.9996E-03,-187.5000E-03
-3.2198000E+00,-314.9996E-03,-31.2500E-03
-3.2197000E+00,-314.9996E-03,-31.2500E-03
-3.2196000E+00,-314.9996E-03,-31.2500E-03
-3.2195000E+00,-158.7496E-03,-31.2500E-03
