x-axis,V_INC,V_OUT
second,Volt,Volt
+22.5000E-03,+123.9061E-03,+41.0156E-03
+22.8000E-03,+123.9061E-03,+41.0156E-03
+23.1000E-03,+123.9061E-03,+35.1563E-03
+23.4000E-03,+123.9061E-03,+41.0156E-03
+23.7000E-03,+123.9061E-03,+35.1563E-03
+24.0000E-03,+123.9061E-03,+41.0156E-03
+24.3000E-03,+123.9061E-03,+41.0156E-03
+24.6000E-03,+123.9061E-03,+35.1563E-03
+24.9000E-03,+104.3749E-03,+35.1563E-03
+25.2000E-03,+123.9061E-03,+35.1563E-03
+25.5000E-03,+123.9061E-03,+41.0156E-03
+25.8000E-03,+123.9061E-03,+35.1563E-03
+26.1000E-03,+123.9061E-03,+41.0156E-03
+26.4000E-03,+123.9061E-03,+35.1563E-03
+26.7000E-03,+123.9061E-03,+35.1563E-03
+27.0000E-03,+123.9061E-03,+41.0156E-03
+27.3000E-03,+104.3749E-03,+41.0156E-03
+27.6000E-03,+123.9061E-03,+35.1563E-03
+27.9000E-03,+123.9061E-03,+41.0156E-03
+28.2000E-03,+123.9061E-03,+41.0156E-03
+28.5000E-03,+123.9061E-03,+35.1563E-03
+28.8000E-03,+104.3749E-03,+35.1563E-03
+29.1000E-03,+123.9061E-03,+35.1563E-03
+29.4000E-03,+123.9061E-03,+35.1563E-03
+29.7000E-03,+123.9061E-03,+41.0156E-03
+30.0000E-03,+123.9061E-03,+35.1563E-03
+30.3000E-03,+104.3749E-03,+35.1563E-03
+30.6000E-03,+123.9061E-03,+35.1563E-03
+30.9000E-03,+123.9061E-03,+41.0156E-03
+31.2000E-03,+104.3749E-03,+35.1563E-03
+31.5000E-03,+104.3749E-03,+35.1563E-03
+31.8000E-03,+104.3749E-03,+41.0156E-03
+32.1000E-03,+104.3749E-03,+35.1563E-03
+32.4000E-03,+104.3749E-03,+35.1563E-03
+32.7000E-03,+104.3749E-03,+35.1562E-03
+33.0000E-03,+104.3749E-03,+29.2969E-03
+33.3000E-03,+104.3749E-03,+29.2969E-03
+33.6000E-03,+104.3749E-03,+29.2969E-03
+33.9000E-03,+104.3749E-03,+35.1562E-03
+34.2000E-03,+104.3749E-03,+29.2969E-03
+34.5000E-03,+104.3749E-03,+35.1563E-03
+34.8000E-03,+104.3749E-03,+35.1562E-03
+35.1000E-03,+104.3749E-03,+29.2969E-03
+35.4000E-03,+104.3749E-03,+29.2969E-03
+35.7000E-03,+104.3749E-03,+35.1563E-03
+36.0000E-03,+104.3749E-03,+35.1562E-03
+36.3000E-03,+104.3749E-03,+29.2969E-03
+36.6000E-03,+104.3749E-03,+35.1563E-03
