x-axis,V_INS,V_INC,V_OUT
second,Volt,Volt,Volt
-16.8000E-03,-40.1564E-03,+143.4374E-03,+35.1563E-03
-16.5000E-03,-40.1564E-03,+143.4374E-03,+35.1563E-03
-16.2000E-03,-40.1564E-03,+143.4374E-03,+35.1563E-03
-15.9000E-03,-40.1564E-03,+143.4374E-03,+35.1563E-03
-15.6000E-03,-40.1564E-03,+143.4374E-03,+35.1562E-03
-15.3000E-03,-40.1564E-03,+143.4374E-03,+29.2969E-03
-15.0000E-03,-40.1564E-03,+143.4374E-03,+29.2969E-03
-14.7000E-03,-40.1564E-03,+143.4374E-03,+35.1562E-03
-14.4000E-03,-40.1564E-03,+143.4374E-03,+29.2969E-03
-14.1000E-03,-40.1564E-03,+143.4374E-03,+29.2969E-03
-13.8000E-03,-40.1564E-03,+143.4374E-03,+29.2969E-03
-13.5000E-03,-40.1564E-03,+143.4374E-03,+35.1562E-03
-13.2000E-03,-40.1564E-03,+143.4374E-03,+29.2969E-03
-12.9000E-03,-40.1564E-03,+143.4374E-03,+29.2969E-03
-12.6000E-03,-40.1564E-03,+143.4374E-03,+29.2969E-03
-12.3000E-03,-40.1564E-03,+143.4374E-03,+41.0156E-03
-12.0000E-03,-40.1564E-03,+143.4374E-03,+29.2969E-03
-11.7000E-03,-40.1564E-03,+143.4374E-03,+29.2969E-03
-11.4000E-03,-40.1564E-03,+143.4374E-03,+35.1562E-03
-11.1000E-03,-40.1564E-03,+143.4374E-03,+29.2969E-03
-10.8000E-03,-40.1564E-03,+143.4374E-03,+29.2969E-03
-10.5000E-03,-40.1564E-03,+143.4374E-03,+29.2969E-03
-10.2000E-03,-59.6876E-03,+143.4374E-03,+29.2969E-03
-9.9000E-03,-59.6876E-03,+143.4374E-03,+29.2969E-03
-9.6000E-03,-40.1564E-03,+143.4374E-03,+23.4375E-03
-9.3000E-03,-40.1564E-03,+143.4374E-03,+29.2969E-03
-9.0000E-03,-59.6876E-03,+143.4374E-03,+29.2969E-03
-8.7000E-03,-40.1564E-03,+143.4374E-03,+23.4375E-03
-8.4000E-03,-40.1564E-03,+143.4374E-03,+29.2969E-03
-8.1000E-03,-40.1564E-03,+143.4374E-03,+29.2969E-03
-7.8000E-03,-40.1564E-03,+143.4374E-03,+29.2969E-03
-7.5000E-03,-40.1564E-03,+143.4374E-03,+29.2969E-03
-7.2000E-03,-40.1564E-03,+123.9061E-03,+35.1563E-03
-6.9000E-03,-40.1564E-03,+123.9061E-03,+35.1563E-03
-6.6000E-03,-40.1564E-03,+143.4374E-03,+35.1563E-03
-6.3000E-03,-40.1564E-03,+143.4374E-03,+35.1563E-03
-6.0000E-03,-40.1564E-03,+143.4374E-03,+35.1563E-03
-5.7000E-03,-40.1564E-03,+123.9061E-03,+35.1563E-03
-5.4000E-03,-40.1564E-03,+123.9061E-03,+35.1563E-03
-5.1000E-03,-40.1564E-03,+123.9061E-03,+35.1563E-03
-4.8000E-03,-40.1564E-03,+143.4374E-03,+41.0156E-03
-4.5000E-03,-59.6876E-03,+123.9061E-03,+35.1563E-03
-4.2000E-03,-40.1564E-03,+143.4374E-03,+35.1563E-03
