#x,with,Background,without,Background,Factor,difference
2,0.00453,0.0043,0.0049,0.0043,9.76,0.00037
5,0.00499,0.0043,0.0064,0.0043,9.76,0.00141
10,0.00578,0.0043,0.009,0.0043,9.76,0.00322
20,0.00735,0.0043,0.0142,0.0043,9.76,0.00685
30,0.00899,0.0043,0.0194,0.0043,9.76,0.01041
40,0.0106,0.0043,0.024,0.0043,9.76,0.0134
50,0.01215,0.0043,0.029,0.0043,9.76,0.01685
