#x,with,Background,without,Background,Factor,difference
2,0.0045,0.004,0.005,0.004,9.76,0.0005
5,0.005,0.004,0.00737,0.004,9.76,0.00237
10,0.00635,0.004,0.01,0.004,9.76,0.00365
20,0.0086,0.004,0.017,0.004,9.76,0.0084
30,0.0109,0.004,0.02449,0.004,9.76,0.01359
40,0.01322,0.004,0.031,0.004,9.76,0.01778
50,0.0155,0.004,0.038,0.004,9.76,0.0225
