#x,with,Background,without,Background,Factor,difference
2,0.0115,0.0058,0.0306,0.01,10.06,0.0149
5,0.0203,0.0058,0.06266,0.01,10.06,0.03816
10,0.0351,0.0058,0.117,0.01,10.06,0.0777
20,0.0651,0.0058,0.242,0.01,10.06,0.1727
30,0.0952,0.0058,0.37,0.01,10.06,0.2706
40,0.1254,0.0058,0.492,0.01,10.06,0.3624
50,0.1559,0.0058,0.593,0.01,10.06,0.4329
