#x,with,Background,without,Background,Factor,difference
2,0.0135,0.0058,0.035,0.01,10.06,0.0173
5,0.0257,0.0058,0.0719,0.01,10.06,0.042
10,0.0463,0.0058,0.146,0.01,10.06,0.0955
20,0.0877,0.0058,0.301,0.01,10.06,0.2091
30,0.1293,0.0058,0.453,0.01,10.06,0.3195
40,0.1709,0.0058,0.595,0.01,10.06,0.4199
50,0.2128,0.0058,0.732,0.01,10.06,0.515
