#x,radius,std
3,0.375,0.05
15,0.8,0.1
20,1,0.1
27.5,1.3,0.1
33.5,1.5,0.1
37.5,1.7,0.1
45.5,2,0.1
52,2.3,0.1
55.5,2.4,0.1
58,2.5,0.2
68.5,3,0.2
