#x,10,20,30,40
10,0.0228,0.0367,0.0513,0.0658
20,0.07428,0.14181,0.21,0.2786
30,0.121,0.23679,0.3535,0.471
40,0.1517,0.2991,0.448,0.5981
50,0.169,0.334,0.502,0.6718
