x-axis,VREF,VOUT_FILT
second,Volt,Volt
+235.40000E-03,-625.00000E-03,-312.50000E-03
+235.45000E-03,-781.25000E-03,-156.25000E-03
+235.50000E-03,-625.00000E-03,-156.25000E-03
+235.55000E-03,-625.00000E-03,-156.25000E-03
+235.60000E-03,-625.00000E-03,-312.50000E-03
+235.65000E-03,-468.75000E-03,-156.25000E-03
+235.70000E-03,-625.00000E-03,-156.25000E-03
+235.75000E-03,-468.75000E-03,-0.0E+00
+235.80000E-03,-625.00000E-03,-156.25000E-03
+235.85000E-03,-625.00000E-03,-156.25000E-03
+235.90000E-03,-468.75000E-03,-156.25000E-03
+235.95000E-03,-625.00000E-03,-156.25000E-03
+236.00000E-03,-781.25000E-03,-156.25000E-03
+236.05000E-03,-625.00000E-03,-156.25000E-03
+236.10000E-03,-625.00000E-03,-0.0E+00
+236.15000E-03,-781.25000E-03,-156.25000E-03
+236.20000E-03,-625.00000E-03,-156.25000E-03
+236.25000E-03,-625.00000E-03,-156.25000E-03
+236.30000E-03,-625.00000E-03,-156.25000E-03
+236.35000E-03,-468.75000E-03,-156.25000E-03
+236.40000E-03,-625.00000E-03,-156.25000E-03
+236.45000E-03,-781.25000E-03,-156.25000E-03
+236.50000E-03,-625.00000E-03,-156.25000E-03
+236.55000E-03,-625.00000E-03,-156.25000E-03
+236.60000E-03,-625.00000E-03,-156.25000E-03
+236.65000E-03,-625.00000E-03,-156.25000E-03
+236.70000E-03,-781.25000E-03,-312.50000E-03
+236.75000E-03,-625.00000E-03,-156.25000E-03
+236.80000E-03,-625.00000E-03,-0.0E+00
+236.85000E-03,-625.00000E-03,+0.0E+00
+236.90000E-03,-625.00000E-03,-312.50000E-03
+236.95000E-03,-468.75000E-03,-156.25000E-03
+237.00000E-03,-625.00000E-03,-156.25000E-03
+237.05000E-03,-625.00000E-03,-156.25000E-03
+237.10000E-03,-781.25000E-03,-156.25000E-03
+237.15000E-03,-625.00000E-03,-156.25000E-03
+237.20000E-03,-625.00000E-03,-156.25000E-03
+237.25000E-03,-625.00000E-03,-156.25000E-03
+237.30000E-03,-625.00000E-03,-0.0E+00
+237.35000E-03,-781.25000E-03,-156.25000E-03
+237.40000E-03,-625.00000E-03,-0.0E+00
+237.45000E-03,-468.75000E-03,-156.25000E-03
+237.50000E-03,-625.00000E-03,-0.0E+00
+237.55000E-03,-781.25000E-03,-156.25000E-03
+237.60000E-03,-781.25000E-03,-156.25000E-03
+237.65000E-03,-625.00000E-03,-156.25000E-03
+237.70000E-03,-625.00000E-03,-156.25000E-03
+237.75000E-03,-781.25000E-03,-312.50000E-03
+237.80000E-03,-625.00000E-03,-156.25000E-03
+237.85000E-03,-781.25000E-03,-156.25000E-03
+237.90000E-03,-625.00000E-03,-156.25000E-03
+237.95000E-03,-781.25000E-03,-156.25000E-03
+238.00000E-03,-781.25000E-03,-156.25000E-03
+238.05000E-03,-625.00000E-03,-156.25000E-03
+238.10000E-03,-625.00000E-03,-156.25000E-03
+238.15000E-03,-625.00000E-03,-156.25000E-03
+238.20000E-03,-468.75000E-03,-156.25000E-03
+238.25000E-03,-625.00000E-03,-156.25000E-03
+238.30000E-03,-468.75000E-03,-156.25000E-03
+238.35000E-03,-625.00000E-03,-156.25000E-03
+238.40000E-03,-625.00000E-03,-0.0E+00
+238.45000E-03,-625.00000E-03,-156.25000E-03
+238.50000E-03,-625.00000E-03,-0.0E+00
+238.55000E-03,-625.00000E-03,-156.25000E-03
+238.60000E-03,-781.25000E-03,-156.25000E-03
+238.65000E-03,-625.00000E-03,-156.25000E-03
+238.70000E-03,-625.00000E-03,-156.25000E-03
+238.75000E-03,-781.25000E-03,-312.50000E-03
+238.80000E-03,-468.75000E-03,-156.25000E-03
+238.85000E-03,-781.25000E-03,-156.25000E-03
+238.90000E-03,-625.00000E-03,-156.25000E-03
+238.95000E-03,-625.00000E-03,-156.25000E-03
+239.00000E-03,-625.00000E-03,-156.25000E-03
+239.05000E-03,-625.00000E-03,-156.25000E-03
+239.10000E-03,-468.75000E-03,-0.0E+00
+239.15000E-03,-625.00000E-03,-156.25000E-03
+239.20000E-03,-625.00000E-03,-156.25000E-03
+239.25000E-03,-625.00000E-03,-156.25000E-03
+239.30000E-03,-625.00000E-03,-156.25000E-03
+239.35000E-03,-625.00000E-03,-0.0E+00
+239.40000E-03,-781.25000E-03,+0.0E+00
+239.45000E-03,-625.00000E-03,+0.0E+00
+239.50000E-03,-781.25000E-03,-156.25000E-03
+239.55000E-03,-625.00000E-03,-156.25000E-03
+239.60000E-03,-781.25000E-03,-312.50000E-03
+239.65000E-03,-781.25000E-03,-312.50000E-03
+239.70000E-03,-781.25000E-03,-156.25000E-03
+239.75000E-03,-625.00000E-03,-156.25000E-03
+239.80000E-03,-625.00000E-03,-312.50000E-03
+239.85000E-03,-625.00000E-03,-312.50000E-03
+239.90000E-03,-625.00000E-03,-156.25000E-03
+239.95000E-03,-625.00000E-03,-0.0E+00
+240.00000E-03,-468.75000E-03,-156.25000E-03
+240.05000E-03,-625.00000E-03,-312.50000E-03
+240.10000E-03,-625.00000E-03,-312.50000E-03
+240.15000E-03,-625.00000E-03,-156.25000E-03
+240.20000E-03,-625.00000E-03,-156.25000E-03
+240.25000E-03,-781.25000E-03,-156.25000E-03
+240.30000E-03,-625.00000E-03,-156.25000E-03
+240.35000E-03,-781.25000E-03,-156.25000E-03
+240.40000E-03,-625.00000E-03,-156.25000E-03
+240.45000E-03,-625.00000E-03,-156.25000E-03
+240.50000E-03,-781.25000E-03,-156.25000E-03
+240.55000E-03,-781.25000E-03,-156.25000E-03
+240.60000E-03,-468.75000E-03,-156.25000E-03
+240.65000E-03,-468.75000E-03,-156.25000E-03
+240.70000E-03,-625.00000E-03,-156.25000E-03
+240.75000E-03,-625.00000E-03,-156.25000E-03
+240.80000E-03,-625.00000E-03,-156.25000E-03
+240.85000E-03,-625.00000E-03,-156.25000E-03
+240.90000E-03,-468.75000E-03,-156.25000E-03
+240.95000E-03,-625.00000E-03,-156.25000E-03
+241.00000E-03,-781.25000E-03,-156.25000E-03
+241.05000E-03,-625.00000E-03,-156.25000E-03
+241.10000E-03,-625.00000E-03,-0.0E+00
+241.15000E-03,-781.25000E-03,-156.25000E-03
+241.20000E-03,-625.00000E-03,-0.0E+00
+241.25000E-03,-625.00000E-03,-156.25000E-03
+241.30000E-03,-468.75000E-03,-0.0E+00
+241.35000E-03,-625.00000E-03,+0.0E+00
+241.40000E-03,-781.25000E-03,-156.25000E-03
+241.45000E-03,-625.00000E-03,-156.25000E-03
+241.50000E-03,-781.25000E-03,-156.25000E-03
+241.55000E-03,-781.25000E-03,-312.50000E-03
+241.60000E-03,-781.25000E-03,-156.25000E-03
+241.65000E-03,-625.00000E-03,-156.25000E-03
+241.70000E-03,-625.00000E-03,-0.0E+00
+241.75000E-03,-625.00000E-03,+0.0E+00
+241.80000E-03,-625.00000E-03,-312.50000E-03
+241.85000E-03,-781.25000E-03,-156.25000E-03
+241.90000E-03,-781.25000E-03,-156.25000E-03
+241.95000E-03,-625.00000E-03,-0.0E+00
+242.00000E-03,-625.00000E-03,-156.25000E-03
+242.05000E-03,-781.25000E-03,-156.25000E-03
+242.10000E-03,-781.25000E-03,-156.25000E-03
+242.15000E-03,-781.25000E-03,-156.25000E-03
+242.20000E-03,-625.00000E-03,-156.25000E-03
+242.25000E-03,-625.00000E-03,-156.25000E-03
+242.30000E-03,-625.00000E-03,-156.25000E-03
+242.35000E-03,-625.00000E-03,-156.25000E-03
+242.40000E-03,-625.00000E-03,-312.50000E-03
+242.45000E-03,-468.75000E-03,-156.25000E-03
+242.50000E-03,-781.25000E-03,-156.25000E-03
+242.55000E-03,-781.25000E-03,-156.25000E-03
+242.60000E-03,-625.00000E-03,-156.25000E-03
+242.65000E-03,-625.00000E-03,-312.50000E-03
+242.70000E-03,-625.00000E-03,-156.25000E-03
+242.75000E-03,-625.00000E-03,-156.25000E-03
+242.80000E-03,-625.00000E-03,-156.25000E-03
+242.85000E-03,-625.00000E-03,-156.25000E-03
+242.90000E-03,-781.25000E-03,-0.0E+00
+242.95000E-03,-625.00000E-03,+0.0E+00
+243.00000E-03,-781.25000E-03,-312.50000E-03
+243.05000E-03,-781.25000E-03,-156.25000E-03
+243.10000E-03,-625.00000E-03,-156.25000E-03
+243.15000E-03,-625.00000E-03,-0.0E+00
+243.20000E-03,-625.00000E-03,+0.0E+00
+243.25000E-03,-625.00000E-03,-156.25000E-03
+243.30000E-03,-781.25000E-03,-156.25000E-03
+243.35000E-03,-781.25000E-03,-156.25000E-03
+243.40000E-03,-625.00000E-03,-156.25000E-03
+243.45000E-03,-625.00000E-03,-312.50000E-03
+243.50000E-03,-781.25000E-03,-156.25000E-03
+243.55000E-03,-781.25000E-03,-156.25000E-03
+243.60000E-03,-625.00000E-03,-312.50000E-03
+243.65000E-03,-625.00000E-03,-156.25000E-03
+243.70000E-03,-781.25000E-03,-156.25000E-03
+243.75000E-03,-468.75000E-03,-0.0E+00
+243.80000E-03,-625.00000E-03,-156.25000E-03
+243.85000E-03,-781.25000E-03,-156.25000E-03
+243.90000E-03,-625.00000E-03,-156.25000E-03
+243.95000E-03,-781.25000E-03,-0.0E+00
+244.00000E-03,-625.00000E-03,-156.25000E-03
+244.05000E-03,-625.00000E-03,-156.25000E-03
+244.10000E-03,-781.25000E-03,-156.25000E-03
+244.15000E-03,-781.25000E-03,-156.25000E-03
+244.20000E-03,-625.00000E-03,-312.50000E-03
+244.25000E-03,-625.00000E-03,-156.25000E-03
+244.30000E-03,-625.00000E-03,-312.50000E-03
+244.35000E-03,-625.00000E-03,-156.25000E-03
+244.40000E-03,-625.00000E-03,-156.25000E-03
+244.45000E-03,-625.00000E-03,-156.25000E-03
+244.50000E-03,-625.00000E-03,-156.25000E-03
+244.55000E-03,-625.00000E-03,+156.25000E-03
+244.60000E-03,-625.00000E-03,-156.25000E-03
+244.65000E-03,-468.75000E-03,-156.25000E-03
+244.70000E-03,-312.50000E-03,-0.0E+00
+244.75000E-03,-312.50000E-03,-156.25000E-03
+244.80000E-03,-156.25000E-03,-156.25000E-03
+244.85000E-03,+156.25000E-03,-156.25000E-03
+244.90000E-03,+312.50000E-03,-156.25000E-03
+244.95000E-03,+468.75000E-03,-0.0E+00
+245.00000E-03,+781.25000E-03,+0.0E+00
+245.05000E-03,+1.09375000E+00,-156.25000E-03
+245.10000E-03,+1.25000000E+00,-0.0E+00
+245.15000E-03,+1.71875000E+00,-156.25000E-03
+245.20000E-03,+2.03125000E+00,-156.25000E-03
+245.25000E-03,+2.34375000E+00,-156.25000E-03
+245.30000E-03,+2.81250000E+00,-156.25000E-03
+245.35000E-03,+3.12500000E+00,-312.50000E-03
+245.40000E-03,+3.59375000E+00,-0.0E+00
+245.45000E-03,+4.06250000E+00,-156.25000E-03
+245.50000E-03,+4.53125000E+00,-156.25000E-03
+245.55000E-03,+5.00000000E+00,-0.0E+00
+245.60000E-03,+5.62500000E+00,-156.25000E-03
+245.65000E-03,+5.93750000E+00,-312.50000E-03
+245.70000E-03,+6.09375000E+00,-156.25000E-03
+245.75000E-03,+6.25000000E+00,-156.25000E-03
+245.80000E-03,+6.56250000E+00,-156.25000E-03
+245.85000E-03,+6.71875000E+00,-312.50000E-03
+245.90000E-03,+6.87500000E+00,-0.0E+00
+245.95000E-03,+7.03125000E+00,-156.25000E-03
+246.00000E-03,+7.18750000E+00,-156.25000E-03
+246.05000E-03,+7.34375000E+00,-312.50000E-03
+246.10000E-03,+7.34375000E+00,-156.25000E-03
+246.15000E-03,+7.50000000E+00,-156.25000E-03
+246.20000E-03,+7.50000000E+00,-156.25000E-03
+246.25000E-03,+7.65625000E+00,-156.25000E-03
+246.30000E-03,+7.81250000E+00,-0.0E+00
+246.35000E-03,+7.96875000E+00,-156.25000E-03
+246.40000E-03,+7.81250000E+00,-0.0E+00
+246.45000E-03,+7.96875000E+00,+0.0E+00
+246.50000E-03,+7.96875000E+00,+0.0E+00
+246.55000E-03,+7.96875000E+00,+0.0E+00
+246.60000E-03,+8.12500000E+00,+312.50000E-03
+246.65000E-03,+8.12500000E+00,+312.50000E-03
+246.70000E-03,+8.28125000E+00,+312.50000E-03
