
Processing Root_to_Ascii.C...
0.15 2.35371e+07
0.45 0
0.75 0
1.05 131
1.35 109
1.65 8327
1.95 33006
2.25 101421
2.55 263638
2.85 504457
3.15 752916
3.45 970571
3.75 1.14134e+06
4.05 1.25319e+06
4.35 1.33227e+06
4.65 1.37936e+06
4.95 1.39216e+06
5.25 1.39032e+06
5.55 1.37172e+06
5.85 1.35461e+06
6.15 1.31028e+06
6.45 1.26642e+06
6.75 1.23524e+06
7.05 1.18378e+06
7.35 1.57836e+06
7.65 1.11104e+06
7.95 1.10925e+06
8.25 5.33095e+06
8.55 1.27015e+06
8.85 1.08358e+06
9.15 951348
9.45 1.53248e+06
9.75 4.85523e+06
10.05 1.45156e+06
10.35 846017
10.65 797576
10.95 788791
11.25 1.29594e+06
11.55 951991
11.85 761772
12.15 699521
12.45 657559
12.75 635627
13.05 612141
13.35 595619
13.65 579924
13.95 574581
14.25 556292
14.55 537694
14.85 516740
15.15 511356
15.45 487290
15.75 472825
16.05 460059
16.35 450011
16.65 435484
16.95 429918
17.25 421629
17.55 402057
17.85 393235
18.15 387289
18.45 375769
18.75 370773
19.05 351318
19.35 350166
19.65 343284
19.95 337690
20.25 326457
20.55 317463
20.85 311098
21.15 303196
21.45 293361
21.75 292031
22.05 280277
22.35 270050
22.65 267445
22.95 262312
23.25 256317
23.55 248155
23.85 244051
24.15 242852
24.45 233647
24.75 227948
25.05 214506
25.35 213310
25.65 210097
25.95 207796
26.25 207013
26.55 198841
26.85 195375
27.15 191373
27.45 183927
27.75 182157
28.05 180186
28.35 173536
28.65 169807
28.95 169427
29.25 166289
29.55 160239
29.85 157478
30.15 151458
30.45 151391
30.75 147633
31.05 142254
31.35 142197
31.65 134067
31.95 134732
32.25 130027
32.55 127484
32.85 123053
33.15 118431
33.45 120917
33.75 114342
34.05 111577
34.35 111804
34.65 110204
34.95 109129
35.25 104805
35.55 99987
35.85 102911
36.15 97754
36.45 94625
36.75 89643
37.05 84574
37.35 84804
37.65 83076
37.95 80482
38.25 80002
38.55 76533
38.85 73981
39.15 71623
39.45 67102
39.75 66804
40.05 65596
40.35 62117
40.65 61185
40.95 59936
41.25 58483
41.55 54336
41.85 53072
42.15 52306
42.45 51133
42.75 49007
43.05 45282
43.35 42416
43.65 43181
43.95 38731
44.25 35823
44.55 34263
44.85 32433
45.15 33337
45.45 29771
45.75 30190
46.05 26691
46.35 24874
46.65 23117
46.95 22040
47.25 19399
47.55 16469
47.85 13990
48.15 12241
48.45 10042
48.75 8002
49.05 7430
49.35 5682
49.65 2585
49.95 589
50.25 0
50.55 0
50.85 0
51.15 0
51.45 0
51.75 0
52.05 0
52.35 0
52.65 0
52.95 0
53.25 0
53.55 0
53.85 0
54.15 0
54.45 0
54.75 0
55.05 0
55.35 0
55.65 0
55.95 0
56.25 0
56.55 0
56.85 0
57.15 0
57.45 0
57.75 0
58.05 0
58.35 0
58.65 0
58.95 0
59.25 0
59.55 0
59.85 0
