0.15 6.39218e+06
0.45 0
0.75 0
1.05 0
1.35 0
1.65 12
1.95 300
2.25 5830
2.55 37864
2.85 123643
3.15 251012
3.45 396145
3.75 562638
4.05 710352
4.35 838054
4.65 938466
4.95 1.00743e+06
5.25 1.05574e+06
5.55 1.08162e+06
5.85 1.10179e+06
6.15 1.09297e+06
6.45 1.07874e+06
6.75 1.07111e+06
7.05 1.03994e+06
7.35 1.4088e+06
7.65 999657
7.95 988775
8.25 4.90724e+06
8.55 1.17246e+06
8.85 1.00482e+06
9.15 874408
9.45 1.40319e+06
9.75 4.60224e+06
10.05 1.37554e+06
10.35 800872
10.65 755916
10.95 745270
11.25 1.2399e+06
11.55 911865
11.85 729913
12.15 670830
12.45 631810
12.75 611759
13.05 589093
13.35 574054
13.65 559499
13.95 555340
14.25 537641
14.55 520120
14.85 500596
15.15 495684
15.45 472608
15.75 458793
16.05 446656
16.35 437113
16.65 423259
16.95 418114
17.25 410271
17.55 391364
17.85 382968
18.15 377241
18.45 366148
18.75 361308
19.05 342615
19.35 341528
19.65 335103
19.95 329710
20.25 318665
20.55 310019
20.85 304025
21.15 296271
21.45 286638
21.75 285586
22.05 274057
22.35 264108
22.65 261562
22.95 256716
23.25 250664
23.55 242864
23.85 238859
24.15 237510
24.45 228695
24.75 223174
25.05 209854
25.35 208786
25.65 205784
25.95 203439
26.25 202858
26.55 194904
26.85 191356
27.15 187677
27.45 180062
27.75 178480
28.05 176776
28.35 170138
28.65 166538
28.95 166142
29.25 163168
29.55 157323
29.85 154502
30.15 148635
30.45 148581
30.75 145050
31.05 139568
31.35 139679
31.65 131605
31.95 132381
32.25 127688
32.55 125198
32.85 120898
33.15 116303
33.45 118812
33.75 112367
34.05 109592
34.35 109859
34.65 108366
34.95 107377
35.25 103056
35.55 98335
35.85 101226
36.15 96241
36.45 93179
36.75 88283
37.05 83224
37.35 83552
37.65 81864
37.95 79310
38.25 78880
38.55 75458
38.85 72898
39.15 70660
39.45 66109
39.75 65930
40.05 64745
40.35 61374
40.65 60453
40.95 59255
41.25 57840
41.55 53731
41.85 52517
42.15 51820
42.45 50708
42.75 48620
43.05 44928
43.35 42088
43.65 42877
43.95 38405
44.25 35557
44.55 34015
44.85 32230
45.15 33163
45.45 29618
45.75 30008
46.05 26574
46.35 24737
46.65 23026
46.95 21961
47.25 19308
47.55 16396
47.85 13933
48.15 12198
48.45 10008
48.75 7975
49.05 7400
49.35 5670
49.65 2581
49.95 588
50.25 0
50.55 0
50.85 0
51.15 0
51.45 0
51.75 0
52.05 0
52.35 0
52.65 0
52.95 0
53.25 0
53.55 0
53.85 0
54.15 0
54.45 0
54.75 0
55.05 0
55.35 0
55.65 0
55.95 0
56.25 0
56.55 0
56.85 0
57.15 0
57.45 0
57.75 0
58.05 0
58.35 0
58.65 0
58.95 0
59.25 0
59.55 0
59.85 0
