x-axis,V_INS,V_INC,V_OUT
second,Volt,Volt,Volt
-4.1676000E+00,-0.0E+00,-0.0E+00,+0.0E+00
-4.1675000E+00,+0.0E+00,-312.5000E-03,+62.5000E-03
-4.1674000E+00,-312.5000E-03,-312.5000E-03,+125.0000E-03
-4.1673000E+00,-312.5000E-03,-312.5000E-03,+125.0000E-03
-4.1672000E+00,-625.0000E-03,-0.0E+00,+62.5000E-03
-4.1671000E+00,-312.5000E-03,-625.0000E-03,+62.5000E-03
-4.1670000E+00,-312.5000E-03,-312.5000E-03,+62.5000E-03
-4.1669000E+00,-312.5000E-03,-312.5000E-03,+125.0000E-03
-4.1668000E+00,-312.5000E-03,-312.5000E-03,+125.0000E-03
-4.1667000E+00,-625.0000E-03,-312.5000E-03,+62.5000E-03
-4.1666000E+00,-625.0000E-03,-312.5000E-03,+125.0000E-03
-4.1665000E+00,-312.5000E-03,-312.5000E-03,+125.0000E-03
-4.1664000E+00,-312.5000E-03,-312.5000E-03,+62.5000E-03
-4.1663000E+00,-625.0000E-03,-312.5000E-03,+125.0000E-03
-4.1662000E+00,-312.5000E-03,-312.5000E-03,+125.0000E-03
-4.1661000E+00,-0.0E+00,-0.0E+00,+0.0E+00
-4.1660000E+00,-312.5000E-03,-312.5000E-03,+62.5000E-03
-4.1659000E+00,-312.5000E-03,-312.5000E-03,+62.5000E-03
-4.1658000E+00,-0.0E+00,-312.5000E-03,+62.5000E-03
-4.1657000E+00,-625.0000E-03,-312.5000E-03,+125.0000E-03
-4.1656000E+00,-312.5000E-03,-312.5000E-03,+62.5000E-03
-4.1655000E+00,-0.0E+00,-312.5000E-03,+62.5000E-03
-4.1654000E+00,-312.5000E-03,-625.0000E-03,+62.5000E-03
-4.1653000E+00,-312.5000E-03,-312.5000E-03,+62.5000E-03
-4.1652000E+00,-625.0000E-03,-625.0000E-03,+62.5000E-03
-4.1651000E+00,-0.0E+00,-0.0E+00,+62.5000E-03
-4.1650000E+00,-312.5000E-03,+0.0E+00,+125.0000E-03
-4.1649000E+00,-625.0000E-03,-625.0000E-03,+62.5000E-03
