x-axis,V_INS,V_INC,V_OUT
second,Volt,Volt,Volt
-3.7336000E+00,-312.5000E-03,-312.5000E-03,+125.0000E-03
-3.7334000E+00,-312.5000E-03,-312.5000E-03,+125.0000E-03
-3.7332000E+00,-312.5000E-03,-312.5000E-03,+0.0E+00
-3.7330000E+00,-0.0E+00,-312.5000E-03,+62.5000E-03
-3.7328000E+00,-312.5000E-03,-312.5000E-03,+125.0000E-03
-3.7326000E+00,-0.0E+00,-312.5000E-03,+62.5000E-03
-3.7324000E+00,-312.5000E-03,-0.0E+00,+125.0000E-03
-3.7322000E+00,-312.5000E-03,-312.5000E-03,+62.5000E-03
-3.7320000E+00,-0.0E+00,-312.5000E-03,+0.0E+00
-3.7318000E+00,-312.5000E-03,-312.5000E-03,+62.5000E-03
-3.7316000E+00,-312.5000E-03,-312.5000E-03,+62.5000E-03
-3.7314000E+00,-0.0E+00,-312.5000E-03,+125.0000E-03
-3.7312000E+00,-312.5000E-03,-312.5000E-03,+125.0000E-03
-3.7310000E+00,-312.5000E-03,-312.5000E-03,+0.0E+00
-3.7308000E+00,-0.0E+00,-312.5000E-03,+125.0000E-03
-3.7306000E+00,-625.0000E-03,-625.0000E-03,+62.5000E-03
-3.7304000E+00,-0.0E+00,-312.5000E-03,+62.5000E-03
-3.7302000E+00,-312.5000E-03,-625.0000E-03,+62.5000E-03
-3.7300000E+00,-312.5000E-03,-312.5000E-03,+125.0000E-03
-3.7298000E+00,-937.5000E-03,-312.5000E-03,+62.5000E-03
-3.7296000E+00,-312.5000E-03,-0.0E+00,+62.5000E-03
-3.7294000E+00,-312.5000E-03,-312.5000E-03,+62.5000E-03
-3.7292000E+00,-312.5000E-03,-0.0E+00,+125.0000E-03
-3.7290000E+00,-625.0000E-03,-312.5000E-03,+125.0000E-03
-3.7288000E+00,-312.5000E-03,-0.0E+00,+62.5000E-03
-3.7286000E+00,-312.5000E-03,-312.5000E-03,+125.0000E-03
-3.7284000E+00,-625.0000E-03,-312.5000E-03,+125.0000E-03
-3.7282000E+00,-312.5000E-03,-312.5000E-03,+62.5000E-03
-3.7280000E+00,-312.5000E-03,-312.5000E-03,+125.0000E-03
-3.7278000E+00,-312.5000E-03,-312.5000E-03,+125.0000E-03
-3.7276000E+00,-312.5000E-03,-312.5000E-03,+62.5000E-03
-3.7274000E+00,-312.5000E-03,-312.5000E-03,+0.0E+00
-3.7272000E+00,-625.0000E-03,-312.5000E-03,+62.5000E-03
-3.7270000E+00,-312.5000E-03,-312.5000E-03,+0.0E+00
-3.7268000E+00,-312.5000E-03,-0.0E+00,+125.0000E-03
-3.7266000E+00,-312.5000E-03,-312.5000E-03,+125.0000E-03
-3.7264000E+00,-0.0E+00,-0.0E+00,+0.0E+00
-3.7262000E+00,-312.5000E-03,+0.0E+00,+62.5000E-03
-3.7260000E+00,-0.0E+00,-312.5000E-03,+62.5000E-03
-3.7258000E+00,-625.0000E-03,-312.5000E-03,+62.5000E-03
-3.7256000E+00,-312.5000E-03,-312.5000E-03,+125.0000E-03
-3.7254000E+00,-312.5000E-03,-312.5000E-03,+125.0000E-03
-3.7252000E+00,-312.5000E-03,+312.5000E-03,+62.5000E-03
-3.7250000E+00,-312.5000E-03,-312.5000E-03,+0.0E+00
-3.7248000E+00,-312.5000E-03,-312.5000E-03,+125.0000E-03
-3.7246000E+00,-0.0E+00,-312.5000E-03,+125.0000E-03
-3.7244000E+00,+0.0E+00,-625.0000E-03,+62.5000E-03
-3.7242000E+00,+0.0E+00,-0.0E+00,+62.5000E-03
-3.7240000E+00,-312.5000E-03,-312.5000E-03,-62.5000E-03
-3.7238000E+00,-312.5000E-03,-312.5000E-03,+62.5000E-03
-3.7236000E+00,-312.5000E-03,-625.0000E-03,+0.0E+00
-3.7234000E+00,-312.5000E-03,-312.5000E-03,+62.5000E-03
-3.7232000E+00,-312.5000E-03,-312.5000E-03,+62.5000E-03
-3.7230000E+00,-312.5000E-03,-312.5000E-03,+62.5000E-03
-3.7228000E+00,-0.0E+00,-0.0E+00,+62.5000E-03
-3.7226000E+00,-625.0000E-03,-312.5000E-03,+125.0000E-03
-3.7224000E+00,-0.0E+00,-312.5000E-03,+0.0E+00
-3.7222000E+00,-312.5000E-03,-312.5000E-03,+62.5000E-03
-3.7220000E+00,-625.0000E-03,-312.5000E-03,+62.5000E-03
-3.7218000E+00,-0.0E+00,-0.0E+00,+62.5000E-03
-3.7216000E+00,+0.0E+00,-312.5000E-03,+0.0E+00
-3.7214000E+00,-312.5000E-03,-625.0000E-03,+62.5000E-03
-3.7212000E+00,-312.5000E-03,-312.5000E-03,+62.5000E-03
-3.7210000E+00,-312.5000E-03,-312.5000E-03,+125.0000E-03
-3.7208000E+00,-312.5000E-03,-625.0000E-03,+125.0000E-03
-3.7206000E+00,-312.5000E-03,-312.5000E-03,+125.0000E-03
