#x,Dose,radius,Background
2,4.82,100,0.006
3.2,2.799,100,0.007
3.8,2.335,100,0.008
4.5,1.85,100,0.017
5.5,1.542,0.75,0.01
7.5,1.119,0.9,0.017
10.5,0.732,1.15,0.01
12.5,0.563,1.3,0.01
18.5,0.2634,100,0.0139
32,0.096,100,0.012
42,0.069,100,0.012
46,0.0577,3.8,0.012
55.5,0.0404,4.6,0.012
56.5,0.031,100,0.009
63.5,0.028,5.2,0.009
67.5,0.024,100,0.009
