#x,with,Background,without,Background,Factor
2,0.0145,0.005,0.0387,0.01,9.76
5,0.0282,0.005,0.0859,0.01,9.76
10,0.0514,0.005,0.186,0.01,9.76
20,0.098,0.005,0.391,0.01,9.76
30,0.1447,0.005,0.59,0.01,9.76
40,0.1915,0.005,0.76,0.01,9.76
50,0.2385,0.005,0.919,0.01,9.76
