x-axis,VREF,VDD1V2
second,Volt,Volt
-4.36865000E+00,-343.75000E-03,-93.75000E-03
-4.36860000E+00,-343.75000E-03,-93.75000E-03
-4.36855000E+00,-343.75000E-03,-93.75000E-03
-4.36850000E+00,-343.75000E-03,+62.50000E-03
-4.36845000E+00,-343.75000E-03,-93.75000E-03
-4.36840000E+00,-187.50000E-03,+62.50000E-03
-4.36835000E+00,-187.50000E-03,+62.50000E-03
-4.36830000E+00,-187.50000E-03,+62.50000E-03
-4.36825000E+00,-187.50000E-03,-93.75000E-03
-4.36820000E+00,-187.50000E-03,-93.75000E-03
-4.36815000E+00,-343.75000E-03,-93.75000E-03
-4.36810000E+00,-343.75000E-03,+62.50000E-03
-4.36805000E+00,-343.75000E-03,-93.75000E-03
-4.36800000E+00,-187.50000E-03,-93.75000E-03
-4.36795000E+00,-187.50000E-03,-93.75000E-03
-4.36790000E+00,-187.50000E-03,-93.75000E-03
-4.36785000E+00,-343.75000E-03,+62.50000E-03
-4.36780000E+00,-187.50000E-03,+62.50000E-03
-4.36775000E+00,-187.50000E-03,+62.50000E-03
-4.36770000E+00,-343.75000E-03,-93.75000E-03
-4.36765000E+00,-187.50000E-03,+62.50000E-03
-4.36760000E+00,-343.75000E-03,-93.75000E-03
-4.36755000E+00,-343.75000E-03,-93.75000E-03
-4.36750000E+00,-187.50000E-03,+62.50000E-03
-4.36745000E+00,-187.50000E-03,-93.75000E-03
-4.36740000E+00,-187.50000E-03,-93.75000E-03
-4.36735000E+00,-187.50000E-03,-93.75000E-03
-4.36730000E+00,-187.50000E-03,-93.75000E-03
-4.36725000E+00,-187.50000E-03,-93.75000E-03
-4.36720000E+00,-31.25000E-03,-250.00000E-03
-4.36715000E+00,-187.50000E-03,-93.75000E-03
-4.36710000E+00,-187.50000E-03,-93.75000E-03
-4.36705000E+00,-343.75000E-03,-93.75000E-03
-4.36700000E+00,-187.50000E-03,+62.50000E-03
-4.36695000E+00,-343.75000E-03,-93.75000E-03
-4.36690000E+00,-187.50000E-03,-250.00000E-03
-4.36685000E+00,-343.75000E-03,-93.75000E-03
