x-axis,VREF,VOUT_FILT
second,Volt,Volt
+57.5000E-03,-406.2500E-03,-125.0000E-03
+58.0000E-03,-406.2500E-03,-281.2500E-03
+58.5000E-03,-406.2500E-03,-125.0000E-03
+59.0000E-03,-562.5000E-03,-125.0000E-03
+59.5000E-03,-406.2500E-03,-125.0000E-03
+60.0000E-03,-406.2500E-03,-125.0000E-03
+60.5000E-03,-406.2500E-03,-281.2500E-03
+61.0000E-03,-562.5000E-03,-125.0000E-03
+61.5000E-03,-406.2500E-03,-281.2500E-03
+62.0000E-03,-250.0000E-03,-125.0000E-03
+62.5000E-03,-406.2500E-03,-125.0000E-03
+63.0000E-03,-406.2500E-03,-281.2500E-03
+63.5000E-03,-406.2500E-03,-281.2500E-03
+64.0000E-03,-562.5000E-03,-281.2500E-03
+64.5000E-03,-406.2500E-03,-125.0000E-03
+65.0000E-03,-406.2500E-03,-281.2500E-03
+65.5000E-03,-250.0000E-03,-125.0000E-03
+66.0000E-03,-562.5000E-03,-125.0000E-03
+66.5000E-03,-93.7500E-03,-125.0000E-03
+67.0000E-03,-562.5000E-03,-281.2500E-03
+67.5000E-03,-562.5000E-03,-125.0000E-03
+68.0000E-03,-406.2500E-03,-125.0000E-03
+68.5000E-03,-250.0000E-03,-281.2500E-03
+69.0000E-03,-406.2500E-03,-125.0000E-03
+69.5000E-03,-406.2500E-03,-125.0000E-03
+70.0000E-03,-406.2500E-03,-281.2500E-03
+70.5000E-03,-562.5000E-03,-125.0000E-03
+71.0000E-03,-406.2500E-03,-281.2500E-03
+71.5000E-03,-406.2500E-03,-125.0000E-03
+72.0000E-03,-562.5000E-03,-125.0000E-03
+72.5000E-03,-562.5000E-03,-281.2500E-03
+73.0000E-03,-406.2500E-03,-281.2500E-03
+73.5000E-03,-250.0000E-03,-281.2500E-03
+74.0000E-03,-406.2500E-03,-125.0000E-03
+74.5000E-03,-562.5000E-03,-281.2500E-03
+75.0000E-03,-250.0000E-03,-281.2500E-03
+75.5000E-03,-406.2500E-03,-281.2500E-03
+76.0000E-03,-406.2500E-03,-281.2500E-03
+76.5000E-03,-406.2500E-03,-281.2500E-03
+77.0000E-03,-250.0000E-03,-281.2500E-03
+77.5000E-03,-250.0000E-03,-125.0000E-03
+78.0000E-03,-250.0000E-03,-125.0000E-03
+78.5000E-03,-406.2500E-03,-281.2500E-03
+79.0000E-03,-250.0000E-03,-125.0000E-03
+79.5000E-03,-406.2500E-03,-437.5000E-03
+80.0000E-03,-250.0000E-03,+31.2500E-03
+80.5000E-03,-406.2500E-03,-281.2500E-03
+81.0000E-03,-406.2500E-03,-281.2500E-03
+81.5000E-03,-250.0000E-03,-125.0000E-03
+82.0000E-03,-406.2500E-03,-125.0000E-03
+82.5000E-03,-406.2500E-03,-125.0000E-03
+83.0000E-03,-250.0000E-03,-125.0000E-03
+83.5000E-03,-250.0000E-03,-125.0000E-03
+84.0000E-03,-250.0000E-03,-125.0000E-03
+84.5000E-03,-406.2500E-03,-125.0000E-03
+85.0000E-03,-406.2500E-03,-125.0000E-03
+85.5000E-03,-250.0000E-03,-281.2500E-03
+86.0000E-03,-406.2500E-03,-281.2500E-03
+86.5000E-03,-406.2500E-03,-281.2500E-03
+87.0000E-03,-562.5000E-03,-125.0000E-03
+87.5000E-03,-406.2500E-03,-125.0000E-03
+88.0000E-03,-406.2500E-03,-281.2500E-03
