x-axis,VREF,VOUT_FILT
second,Volt,Volt
-573.0000E-03,-250.0000E-03,-93.7500E-03
-572.5000E-03,-250.0000E-03,-93.7500E-03
-572.0000E-03,-250.0000E-03,-93.7500E-03
-571.5000E-03,-250.0000E-03,-93.7500E-03
-571.0000E-03,-406.2500E-03,-250.0000E-03
-570.5000E-03,-406.2500E-03,-93.7500E-03
-570.0000E-03,-406.2500E-03,-93.7500E-03
-569.5000E-03,-406.2500E-03,-93.7500E-03
-569.0000E-03,-250.0000E-03,-250.0000E-03
-568.5000E-03,-250.0000E-03,+62.5000E-03
-568.0000E-03,-406.2500E-03,-93.7500E-03
-567.5000E-03,-250.0000E-03,-93.7500E-03
-567.0000E-03,-406.2500E-03,-93.7500E-03
-566.5000E-03,-406.2500E-03,-93.7500E-03
-566.0000E-03,-406.2500E-03,+62.5000E-03
-565.5000E-03,-250.0000E-03,-93.7500E-03
-565.0000E-03,-406.2500E-03,-93.7500E-03
-564.5000E-03,-406.2500E-03,-93.7500E-03
-564.0000E-03,-406.2500E-03,-250.0000E-03
-563.5000E-03,-406.2500E-03,-93.7500E-03
-563.0000E-03,-250.0000E-03,-93.7500E-03
-562.5000E-03,-250.0000E-03,-93.7500E-03
-562.0000E-03,-406.2500E-03,-93.7500E-03
-561.5000E-03,-406.2500E-03,-93.7500E-03
-561.0000E-03,-250.0000E-03,-93.7500E-03
-560.5000E-03,-406.2500E-03,-250.0000E-03
-560.0000E-03,-406.2500E-03,-93.7500E-03
-559.5000E-03,-250.0000E-03,-93.7500E-03
-559.0000E-03,-406.2500E-03,-93.7500E-03
-558.5000E-03,-406.2500E-03,-250.0000E-03
-558.0000E-03,-406.2500E-03,-93.7500E-03
-557.5000E-03,-250.0000E-03,-93.7500E-03
-557.0000E-03,-250.0000E-03,-93.7500E-03
-556.5000E-03,-250.0000E-03,-93.7500E-03
-556.0000E-03,-406.2500E-03,-250.0000E-03
-555.5000E-03,-406.2500E-03,-93.7500E-03
-555.0000E-03,-250.0000E-03,-250.0000E-03
-554.5000E-03,-406.2500E-03,-93.7500E-03
