x-axis,V_INC,V_OUT
second,Volt,Volt
-2.37576000E+00,-156.25000E-03,+62.50000E-03
-2.37572000E+00,-156.25000E-03,+62.50000E-03
-2.37568000E+00,-312.50000E-03,+62.50000E-03
-2.37564000E+00,-468.75000E-03,+0.0E+00
-2.37560000E+00,-312.50000E-03,+62.50000E-03
-2.37556000E+00,-156.25000E-03,+62.50000E-03
-2.37552000E+00,-156.25000E-03,+125.00000E-03
-2.37548000E+00,-312.50000E-03,+62.50000E-03
-2.37544000E+00,-156.25000E-03,+125.00000E-03
-2.37540000E+00,-0.0E+00,+62.50000E-03
-2.37536000E+00,-312.50000E-03,+125.00000E-03
-2.37532000E+00,-156.25000E-03,+125.00000E-03
-2.37528000E+00,-312.50000E-03,+125.00000E-03
-2.37524000E+00,-156.25000E-03,+125.00000E-03
-2.37520000E+00,-312.50000E-03,+62.50000E-03
-2.37516000E+00,-156.25000E-03,+125.00000E-03
-2.37512000E+00,-156.25000E-03,+62.50000E-03
-2.37508000E+00,-312.50000E-03,+62.50000E-03
-2.37504000E+00,-312.50000E-03,+62.50000E-03
-2.37500000E+00,-156.25000E-03,+0.0E+00
-2.37496000E+00,-312.50000E-03,+62.50000E-03
-2.37492000E+00,-312.50000E-03,+62.50000E-03
-2.37488000E+00,-156.25000E-03,+62.50000E-03
-2.37484000E+00,-312.50000E-03,+62.50000E-03
-2.37480000E+00,-156.25000E-03,+62.50000E-03
-2.37476000E+00,-312.50000E-03,+125.00000E-03
-2.37472000E+00,-312.50000E-03,+62.50000E-03
-2.37468000E+00,-312.50000E-03,+62.50000E-03
-2.37464000E+00,-312.50000E-03,+125.00000E-03
-2.37460000E+00,-312.50000E-03,+62.50000E-03
-2.37456000E+00,-312.50000E-03,+125.00000E-03
-2.37452000E+00,-312.50000E-03,+62.50000E-03
-2.37448000E+00,-156.25000E-03,+62.50000E-03
-2.37444000E+00,-156.25000E-03,+125.00000E-03
-2.37440000E+00,-156.25000E-03,+62.50000E-03
-2.37436000E+00,-156.25000E-03,+62.50000E-03
-2.37432000E+00,-312.50000E-03,+125.00000E-03
-2.37428000E+00,-156.25000E-03,+125.00000E-03
-2.37424000E+00,-156.25000E-03,+62.50000E-03
-2.37420000E+00,-156.25000E-03,+62.50000E-03
-2.37416000E+00,-156.25000E-03,+62.50000E-03
-2.37412000E+00,-156.25000E-03,+62.50000E-03
-2.37408000E+00,-156.25000E-03,+125.00000E-03
-2.37404000E+00,-312.50000E-03,+62.50000E-03
-2.37400000E+00,-156.25000E-03,+125.00000E-03
-2.37396000E+00,-312.50000E-03,+125.00000E-03
-2.37392000E+00,-0.0E+00,+125.00000E-03
-2.37388000E+00,-312.50000E-03,+62.50000E-03
-2.37384000E+00,-156.25000E-03,+0.0E+00
-2.37380000E+00,-312.50000E-03,+62.50000E-03
-2.37376000E+00,-312.50000E-03,+62.50000E-03
-2.37372000E+00,-156.25000E-03,+62.50000E-03
-2.37368000E+00,-156.25000E-03,+62.50000E-03
-2.37364000E+00,-312.50000E-03,+62.50000E-03
-2.37360000E+00,-312.50000E-03,+125.00000E-03
-2.37356000E+00,-312.50000E-03,+62.50000E-03
-2.37352000E+00,-0.0E+00,+62.50000E-03
-2.37348000E+00,-312.50000E-03,+62.50000E-03
-2.37344000E+00,-156.25000E-03,+62.50000E-03
-2.37340000E+00,-312.50000E-03,+62.50000E-03
-2.37336000E+00,-156.25000E-03,+62.50000E-03
-2.37332000E+00,-156.25000E-03,+62.50000E-03
-2.37328000E+00,-156.25000E-03,+62.50000E-03
-2.37324000E+00,-468.75000E-03,+62.50000E-03
-2.37320000E+00,-312.50000E-03,+62.50000E-03
-2.37316000E+00,-312.50000E-03,+62.50000E-03
-2.37312000E+00,-156.25000E-03,+125.00000E-03
-2.37308000E+00,-312.50000E-03,+62.50000E-03
-2.37304000E+00,-156.25000E-03,+125.00000E-03
-2.37300000E+00,-156.25000E-03,+62.50000E-03
-2.37296000E+00,-312.50000E-03,+62.50000E-03
-2.37292000E+00,-156.25000E-03,+187.50000E-03
-2.37288000E+00,-312.50000E-03,+62.50000E-03
-2.37284000E+00,-0.0E+00,+62.50000E-03
-2.37280000E+00,-156.25000E-03,+125.00000E-03
-2.37276000E+00,-156.25000E-03,+62.50000E-03
-2.37272000E+00,-156.25000E-03,+62.50000E-03
-2.37268000E+00,-312.50000E-03,+0.0E+00
-2.37264000E+00,-312.50000E-03,+62.50000E-03
-2.37260000E+00,-312.50000E-03,+62.50000E-03
-2.37256000E+00,-156.25000E-03,+62.50000E-03
-2.37252000E+00,-156.25000E-03,+125.00000E-03
-2.37248000E+00,-312.50000E-03,+62.50000E-03
-2.37244000E+00,-156.25000E-03,+62.50000E-03
-2.37240000E+00,-156.25000E-03,+62.50000E-03
-2.37236000E+00,-468.75000E-03,+0.0E+00
-2.37232000E+00,-156.25000E-03,+125.00000E-03
-2.37228000E+00,-156.25000E-03,+62.50000E-03
-2.37224000E+00,-312.50000E-03,+62.50000E-03
-2.37220000E+00,-156.25000E-03,+62.50000E-03
-2.37216000E+00,-156.25000E-03,+125.00000E-03
-2.37212000E+00,-0.0E+00,+62.50000E-03
-2.37208000E+00,-312.50000E-03,+62.50000E-03
-2.37204000E+00,-156.25000E-03,+0.0E+00
-2.37200000E+00,-156.25000E-03,+0.0E+00
-2.37196000E+00,-312.50000E-03,+62.50000E-03
-2.37192000E+00,-312.50000E-03,+62.50000E-03
-2.37188000E+00,-312.50000E-03,+62.50000E-03
-2.37184000E+00,-312.50000E-03,+0.0E+00
-2.37180000E+00,-156.25000E-03,+62.50000E-03
-2.37176000E+00,-156.25000E-03,+62.50000E-03
-2.37172000E+00,-156.25000E-03,+62.50000E-03
-2.37168000E+00,-156.25000E-03,+62.50000E-03
-2.37164000E+00,-156.25000E-03,+125.00000E-03
-2.37160000E+00,-312.50000E-03,+62.50000E-03
-2.37156000E+00,-156.25000E-03,+125.00000E-03
-2.37152000E+00,-156.25000E-03,+62.50000E-03
-2.37148000E+00,-156.25000E-03,+62.50000E-03
-2.37144000E+00,-156.25000E-03,+62.50000E-03
-2.37140000E+00,-156.25000E-03,+125.00000E-03
