x-axis,V_INC,V_OUT
second,Volt,Volt
-4.72910000E+00,-234.37500E-03,+31.25000E-03
-4.72906000E+00,-234.37500E-03,+31.25000E-03
-4.72902000E+00,-156.25000E-03,+62.50000E-03
-4.72898000E+00,-156.25000E-03,+31.25000E-03
-4.72894000E+00,-156.25000E-03,+31.25000E-03
-4.72890000E+00,-156.25000E-03,+93.75000E-03
-4.72886000E+00,-156.25000E-03,+125.00000E-03
-4.72882000E+00,-156.25000E-03,+93.75000E-03
-4.72878000E+00,-234.37500E-03,+62.50000E-03
-4.72874000E+00,-234.37500E-03,+93.75000E-03
-4.72870000E+00,-156.25000E-03,+93.75000E-03
-4.72866000E+00,-156.25000E-03,+62.50000E-03
-4.72862000E+00,-234.37500E-03,+62.50000E-03
-4.72858000E+00,-234.37500E-03,+62.50000E-03
-4.72854000E+00,-156.25000E-03,+62.50000E-03
-4.72850000E+00,-234.37500E-03,+62.50000E-03
-4.72846000E+00,-234.37500E-03,+62.50000E-03
-4.72842000E+00,-156.25000E-03,+62.50000E-03
-4.72838000E+00,-234.37500E-03,+93.75000E-03
-4.72834000E+00,-156.25000E-03,+93.75000E-03
-4.72830000E+00,-156.25000E-03,+93.75000E-03
-4.72826000E+00,-312.50000E-03,+62.50000E-03
-4.72822000E+00,-234.37500E-03,+62.50000E-03
-4.72818000E+00,-156.25000E-03,+125.00000E-03
-4.72814000E+00,-156.25000E-03,+93.75000E-03
-4.72810000E+00,-234.37500E-03,+62.50000E-03
-4.72806000E+00,-234.37500E-03,+62.50000E-03
-4.72802000E+00,-156.25000E-03,+62.50000E-03
-4.72798000E+00,-156.25000E-03,+93.75000E-03
-4.72794000E+00,-156.25000E-03,+125.00000E-03
-4.72790000E+00,-78.12500E-03,+125.00000E-03
-4.72786000E+00,+78.12500E-03,+125.00000E-03
-4.72782000E+00,+78.12500E-03,+93.75000E-03
-4.72778000E+00,+78.12500E-03,+62.50000E-03
-4.72774000E+00,+312.50000E-03,+93.75000E-03
-4.72770000E+00,+468.75000E-03,+125.00000E-03
-4.72766000E+00,+468.75000E-03,+93.75000E-03
-4.72762000E+00,+468.75000E-03,+93.75000E-03
-4.72758000E+00,+546.87500E-03,+93.75000E-03
-4.72754000E+00,+625.00000E-03,+62.50000E-03
-4.72750000E+00,+703.12500E-03,+62.50000E-03
-4.72746000E+00,+781.25000E-03,+62.50000E-03
-4.72742000E+00,+937.50000E-03,+62.50000E-03
-4.72738000E+00,+1.09375000E+00,+62.50000E-03
-4.72734000E+00,+1.09375000E+00,+62.50000E-03
-4.72730000E+00,+1.09375000E+00,+62.50000E-03
-4.72726000E+00,+1.25000000E+00,+62.50000E-03
-4.72722000E+00,+1.40625000E+00,+62.50000E-03
-4.72718000E+00,+1.32812500E+00,+62.50000E-03
-4.72714000E+00,+1.32812500E+00,+62.50000E-03
-4.72710000E+00,+1.48437500E+00,+93.75000E-03
-4.72706000E+00,+1.56250000E+00,+125.00000E-03
-4.72702000E+00,+1.56250000E+00,+62.50000E-03
-4.72698000E+00,+1.64062500E+00,+0.0E+00
-4.72694000E+00,+1.79687500E+00,+31.25000E-03
-4.72690000E+00,+1.87500000E+00,+62.50000E-03
-4.72686000E+00,+1.87500000E+00,+62.50000E-03
-4.72682000E+00,+1.87500000E+00,+62.50000E-03
-4.72678000E+00,+1.95312500E+00,+62.50000E-03
-4.72674000E+00,+2.03125000E+00,+93.75000E-03
-4.72670000E+00,+2.03125000E+00,+93.75000E-03
-4.72666000E+00,+2.10937500E+00,+62.50000E-03
-4.72662000E+00,+2.10937500E+00,+62.50000E-03
-4.72658000E+00,+2.18750000E+00,+62.50000E-03
-4.72654000E+00,+2.26562500E+00,+31.25000E-03
-4.72650000E+00,+2.26562500E+00,+31.25000E-03
-4.72646000E+00,+2.42187500E+00,+31.25000E-03
-4.72642000E+00,+2.50000000E+00,+31.25000E-03
-4.72638000E+00,+2.50000000E+00,+93.75000E-03
-4.72634000E+00,+2.50000000E+00,+62.50000E-03
-4.72630000E+00,+2.50000000E+00,+31.25000E-03
-4.72626000E+00,+2.57812500E+00,+62.50000E-03
-4.72622000E+00,+2.73437500E+00,+62.50000E-03
-4.72618000E+00,+2.81250000E+00,+62.50000E-03
-4.72614000E+00,+2.81250000E+00,+62.50000E-03
-4.72610000E+00,+2.81250000E+00,+93.75000E-03
-4.72606000E+00,+2.73437500E+00,+125.00000E-03
-4.72602000E+00,+2.81250000E+00,+93.75000E-03
-4.72598000E+00,+2.89062500E+00,+93.75000E-03
-4.72594000E+00,+2.89062500E+00,+93.75000E-03
-4.72590000E+00,+3.04687500E+00,+93.75000E-03
-4.72586000E+00,+3.04687500E+00,+93.75000E-03
-4.72582000E+00,+3.04687500E+00,+93.75000E-03
-4.72578000E+00,+3.12500000E+00,+62.50000E-03
-4.72574000E+00,+3.12500000E+00,+31.25000E-03
-4.72570000E+00,+3.12500000E+00,+93.75000E-03
-4.72566000E+00,+3.12500000E+00,+125.00000E-03
