x-axis,V_INS,V_INC,V_OUT
second,Volt,Volt,Volt
-3.39510000E+00,-156.25000E-03,-156.25000E-03,+125.00000E-03
-3.39507000E+00,-156.25000E-03,-0.0E+00,+125.00000E-03
-3.39504000E+00,+0.0E+00,-156.25000E-03,+125.00000E-03
-3.39501000E+00,+0.0E+00,-156.25000E-03,+62.50000E-03
-3.39498000E+00,-0.0E+00,-156.25000E-03,+125.00000E-03
-3.39495000E+00,-156.25000E-03,+0.0E+00,+125.00000E-03
-3.39492000E+00,-0.0E+00,-0.0E+00,+125.00000E-03
-3.39489000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39486000E+00,-156.25000E-03,-156.25000E-03,+125.00000E-03
-3.39483000E+00,-0.0E+00,-0.0E+00,+62.50000E-03
-3.39480000E+00,-156.25000E-03,-156.25000E-03,+125.00000E-03
-3.39477000E+00,-0.0E+00,-156.25000E-03,+125.00000E-03
-3.39474000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39471000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39468000E+00,-156.25000E-03,-312.50000E-03,+62.50000E-03
-3.39465000E+00,-0.0E+00,-312.50000E-03,+125.00000E-03
-3.39462000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39459000E+00,-0.0E+00,-156.25000E-03,+125.00000E-03
-3.39456000E+00,-156.25000E-03,-312.50000E-03,+125.00000E-03
-3.39453000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39450000E+00,-156.25000E-03,-0.0E+00,+62.50000E-03
-3.39447000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39444000E+00,-156.25000E-03,-156.25000E-03,+125.00000E-03
-3.39441000E+00,-312.50000E-03,-156.25000E-03,+62.50000E-03
-3.39438000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39435000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39432000E+00,-0.0E+00,-156.25000E-03,+0.0E+00
-3.39429000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39426000E+00,-0.0E+00,-156.25000E-03,+62.50000E-03
-3.39423000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39420000E+00,+0.0E+00,-0.0E+00,+62.50000E-03
-3.39417000E+00,-0.0E+00,-156.25000E-03,+125.00000E-03
-3.39414000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39411000E+00,-312.50000E-03,-156.25000E-03,+125.00000E-03
-3.39408000E+00,-156.25000E-03,-0.0E+00,+62.50000E-03
-3.39405000E+00,-312.50000E-03,-156.25000E-03,+125.00000E-03
-3.39402000E+00,+0.0E+00,-156.25000E-03,+62.50000E-03
-3.39399000E+00,-0.0E+00,-156.25000E-03,+62.50000E-03
-3.39396000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39393000E+00,-156.25000E-03,-0.0E+00,+125.00000E-03
-3.39390000E+00,-312.50000E-03,-156.25000E-03,+62.50000E-03
-3.39387000E+00,-156.25000E-03,-156.25000E-03,+125.00000E-03
-3.39384000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39381000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39378000E+00,-156.25000E-03,-312.50000E-03,+62.50000E-03
-3.39375000E+00,-156.25000E-03,-0.0E+00,+125.00000E-03
-3.39372000E+00,-156.25000E-03,-156.25000E-03,+125.00000E-03
-3.39369000E+00,+0.0E+00,-156.25000E-03,+62.50000E-03
-3.39366000E+00,-0.0E+00,-156.25000E-03,+62.50000E-03
-3.39363000E+00,-156.25000E-03,-156.25000E-03,+125.00000E-03
-3.39360000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39357000E+00,-0.0E+00,-156.25000E-03,+125.00000E-03
-3.39354000E+00,-156.25000E-03,-156.25000E-03,+125.00000E-03
-3.39351000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39348000E+00,-156.25000E-03,-156.25000E-03,+125.00000E-03
-3.39345000E+00,-312.50000E-03,-156.25000E-03,+62.50000E-03
-3.39342000E+00,+0.0E+00,-156.25000E-03,+125.00000E-03
-3.39339000E+00,-0.0E+00,+0.0E+00,+125.00000E-03
-3.39336000E+00,-156.25000E-03,+0.0E+00,+62.50000E-03
-3.39333000E+00,-156.25000E-03,-0.0E+00,+62.50000E-03
-3.39330000E+00,-312.50000E-03,-156.25000E-03,+62.50000E-03
-3.39327000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39324000E+00,-0.0E+00,-0.0E+00,+62.50000E-03
-3.39321000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39318000E+00,-156.25000E-03,-156.25000E-03,+125.00000E-03
-3.39315000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39312000E+00,-0.0E+00,-156.25000E-03,+0.0E+00
-3.39309000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39306000E+00,-0.0E+00,-156.25000E-03,+125.00000E-03
-3.39303000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39300000E+00,-0.0E+00,-156.25000E-03,+125.00000E-03
-3.39297000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39294000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39291000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39288000E+00,-156.25000E-03,-156.25000E-03,+125.00000E-03
-3.39285000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39282000E+00,-0.0E+00,-156.25000E-03,+0.0E+00
-3.39279000E+00,-312.50000E-03,+0.0E+00,+62.50000E-03
-3.39276000E+00,-156.25000E-03,-0.0E+00,+62.50000E-03
-3.39273000E+00,-312.50000E-03,-156.25000E-03,+62.50000E-03
-3.39270000E+00,+0.0E+00,-156.25000E-03,+125.00000E-03
-3.39267000E+00,-0.0E+00,-156.25000E-03,+125.00000E-03
-3.39264000E+00,-312.50000E-03,-156.25000E-03,+62.50000E-03
-3.39261000E+00,+0.0E+00,-312.50000E-03,+62.50000E-03
-3.39258000E+00,-0.0E+00,-156.25000E-03,+125.00000E-03
-3.39255000E+00,-156.25000E-03,-156.25000E-03,+125.00000E-03
-3.39252000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39249000E+00,-156.25000E-03,+0.0E+00,+62.50000E-03
-3.39246000E+00,-0.0E+00,-0.0E+00,+125.00000E-03
-3.39243000E+00,-156.25000E-03,-156.25000E-03,+125.00000E-03
-3.39240000E+00,-156.25000E-03,-156.25000E-03,+125.00000E-03
-3.39237000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39234000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39231000E+00,-156.25000E-03,-312.50000E-03,+0.0E+00
-3.39228000E+00,+0.0E+00,-156.25000E-03,+125.00000E-03
-3.39225000E+00,+0.0E+00,-156.25000E-03,+125.00000E-03
-3.39222000E+00,+0.0E+00,-0.0E+00,+62.50000E-03
-3.39219000E+00,+0.0E+00,-312.50000E-03,+125.00000E-03
-3.39216000E+00,-0.0E+00,-156.25000E-03,+125.00000E-03
-3.39213000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39210000E+00,-156.25000E-03,+0.0E+00,+125.00000E-03
-3.39207000E+00,-156.25000E-03,-0.0E+00,+62.50000E-03
-3.39204000E+00,-0.0E+00,-312.50000E-03,+62.50000E-03
-3.39201000E+00,-156.25000E-03,-312.50000E-03,+62.50000E-03
-3.39198000E+00,-156.25000E-03,-156.25000E-03,+125.00000E-03
-3.39195000E+00,-0.0E+00,-156.25000E-03,+62.50000E-03
-3.39192000E+00,-156.25000E-03,-312.50000E-03,+62.50000E-03
-3.39189000E+00,-312.50000E-03,-156.25000E-03,+62.50000E-03
-3.39186000E+00,-156.25000E-03,-156.25000E-03,+125.00000E-03
-3.39183000E+00,-0.0E+00,-156.25000E-03,+0.0E+00
-3.39180000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39177000E+00,-156.25000E-03,-312.50000E-03,+62.50000E-03
-3.39174000E+00,-0.0E+00,-156.25000E-03,+125.00000E-03
-3.39171000E+00,-156.25000E-03,-0.0E+00,+125.00000E-03
-3.39168000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39165000E+00,+156.25000E-03,+0.0E+00,+62.50000E-03
-3.39162000E+00,+312.50000E-03,+0.0E+00,+125.00000E-03
-3.39159000E+00,+625.00000E-03,+312.50000E-03,+62.50000E-03
-3.39156000E+00,+625.00000E-03,+468.75000E-03,+62.50000E-03
-3.39153000E+00,+625.00000E-03,+468.75000E-03,+62.50000E-03
-3.39150000E+00,+625.00000E-03,+468.75000E-03,+62.50000E-03
-3.39147000E+00,+781.25000E-03,+468.75000E-03,+62.50000E-03
-3.39144000E+00,+781.25000E-03,+625.00000E-03,+125.00000E-03
-3.39141000E+00,+937.50000E-03,+625.00000E-03,+62.50000E-03
-3.39138000E+00,+937.50000E-03,+781.25000E-03,+125.00000E-03
-3.39135000E+00,+937.50000E-03,+937.50000E-03,+0.0E+00
-3.39132000E+00,+1.09375000E+00,+1.09375000E+00,+62.50000E-03
-3.39129000E+00,+1.25000000E+00,+1.09375000E+00,+187.50000E-03
-3.39126000E+00,+1.09375000E+00,+937.50000E-03,+62.50000E-03
-3.39123000E+00,+1.25000000E+00,+1.09375000E+00,+62.50000E-03
-3.39120000E+00,+1.40625000E+00,+1.09375000E+00,+62.50000E-03
-3.39117000E+00,+1.56250000E+00,+1.25000000E+00,+187.50000E-03
-3.39114000E+00,+1.40625000E+00,+1.25000000E+00,+62.50000E-03
-3.39111000E+00,+1.40625000E+00,+1.25000000E+00,+62.50000E-03
-3.39108000E+00,+1.40625000E+00,+1.40625000E+00,+125.00000E-03
-3.39105000E+00,+1.56250000E+00,+1.56250000E+00,+0.0E+00
-3.39102000E+00,+1.56250000E+00,+1.40625000E+00,+62.50000E-03
-3.39099000E+00,+1.71875000E+00,+1.71875000E+00,+62.50000E-03
-3.39096000E+00,+1.87500000E+00,+1.71875000E+00,+0.0E+00
-3.39093000E+00,+1.87500000E+00,+1.56250000E+00,+62.50000E-03
-3.39090000E+00,+1.87500000E+00,+1.71875000E+00,+125.00000E-03
-3.39087000E+00,+1.87500000E+00,+1.87500000E+00,+125.00000E-03
-3.39084000E+00,+2.03125000E+00,+1.87500000E+00,+125.00000E-03
-3.39081000E+00,+2.18750000E+00,+1.87500000E+00,+125.00000E-03
-3.39078000E+00,+2.18750000E+00,+1.87500000E+00,+62.50000E-03
-3.39075000E+00,+2.34375000E+00,+2.03125000E+00,+62.50000E-03
-3.39072000E+00,+2.18750000E+00,+2.03125000E+00,+0.0E+00
