#x,with,Background,without,Background,Factor
2,0.00453,0.0043,0.0049,0.0043,9.76
5,0.00499,0.0043,0.0064,0.0043,9.76
10,0.00578,0.0043,0.009,0.0043,9.76
20,0.00735,0.0043,0.0142,0.0043,9.76
30,0.00899,0.0043,0.0194,0.0043,9.76
40,0.0106,0.0043,0.024,0.0043,9.76
50,0.01215,0.0043,0.029,0.0043,9.76
