#x,with,background,without,background,Factor,difference
2,0.0182,0.006,0.0504,0.01,9.62,0.0282
5,0.037,0.006,0.112,0.01,9.62,0.071
10,0.0687,0.006,0.242,0.01,9.62,0.1693
20,0.1324,0.006,0.529,0.01,9.62,0.3926
30,0.1964,0.006,0.796,0.01,9.62,0.5956
40,0.2605,0.006,1.042,0.01,9.62,0.7775
50,0.3249,0.006,1.292,0.01,9.62,0.9631
