#x,with,Background,without,Background,Factor,difference
2,0.0231,0.006,0.0582,0.01,9.62,0.0311
5,0.0485,0.006,0.1316,0.01,9.62,0.0691
10,0.091,0.006,0.305,0.01,9.62,0.21
20,0.176,0.006,0.63,0.01,9.62,0.45
30,0.2627,0.006,0.926,0.01,9.62,0.7093
40,0.3496,0.006,1.234,0.01,9.62,0.8804
50,0.4358,0.006,1.542,0.01,9.62,1.1022
