x-axis,VREF,VDD1V2
second,Volt,Volt
-4.4046000E+00,-158.7496E-03,-31.2500E-03
-4.4044000E+00,-158.7496E-03,-31.2500E-03
-4.4042000E+00,-158.7496E-03,-31.2500E-03
-4.4040000E+00,-158.7496E-03,-31.2500E-03
-4.4038000E+00,-2.4996E-03,-31.2500E-03
-4.4036000E+00,-158.7496E-03,-31.2500E-03
-4.4034000E+00,-158.7496E-03,-187.5000E-03
-4.4032000E+00,-2.4996E-03,-31.2500E-03
-4.4030000E+00,-314.9996E-03,-187.5000E-03
-4.4028000E+00,-158.7496E-03,-187.5000E-03
-4.4026000E+00,-314.9996E-03,-31.2500E-03
-4.4024000E+00,-158.7496E-03,-31.2500E-03
-4.4022000E+00,-158.7496E-03,-31.2500E-03
-4.4020000E+00,-314.9996E-03,-187.5000E-03
-4.4018000E+00,-314.9996E-03,-31.2500E-03
-4.4016000E+00,-314.9996E-03,-31.2500E-03
-4.4014000E+00,-314.9996E-03,-31.2500E-03
-4.4012000E+00,-314.9996E-03,-31.2500E-03
-4.4010000E+00,-314.9996E-03,+125.0000E-03
-4.4008000E+00,-314.9996E-03,-187.5000E-03
-4.4006000E+00,-158.7496E-03,+125.0000E-03
-4.4004000E+00,-158.7496E-03,-31.2500E-03
-4.4002000E+00,-314.9996E-03,-187.5000E-03
-4.4000000E+00,-314.9996E-03,-31.2500E-03
-4.3998000E+00,-158.7496E-03,-31.2500E-03
-4.3996000E+00,-158.7496E-03,-31.2500E-03
-4.3994000E+00,-314.9996E-03,-31.2500E-03
-4.3992000E+00,-158.7496E-03,+125.0000E-03
-4.3990000E+00,-158.7496E-03,-31.2500E-03
-4.3988000E+00,-314.9996E-03,-187.5000E-03
-4.3986000E+00,-158.7496E-03,-187.5000E-03
-4.3984000E+00,-314.9996E-03,-31.2500E-03
-4.3982000E+00,-314.9996E-03,-31.2500E-03
-4.3980000E+00,-158.7496E-03,-31.2500E-03
-4.3978000E+00,-158.7496E-03,-31.2500E-03
-4.3976000E+00,-158.7496E-03,-31.2500E-03
-4.3974000E+00,-158.7496E-03,-31.2500E-03
-4.3972000E+00,-158.7496E-03,-187.5000E-03
-4.3970000E+00,-314.9996E-03,-187.5000E-03
-4.3968000E+00,-314.9996E-03,-31.2500E-03
-4.3966000E+00,-314.9996E-03,-31.2500E-03
-4.3964000E+00,-314.9996E-03,-31.2500E-03
-4.3962000E+00,-314.9996E-03,-187.5000E-03
-4.3960000E+00,-158.7496E-03,-31.2500E-03
-4.3958000E+00,-314.9996E-03,-31.2500E-03
-4.3956000E+00,-314.9996E-03,-31.2500E-03
-4.3954000E+00,-158.7496E-03,-31.2500E-03
-4.3952000E+00,-158.7496E-03,-31.2500E-03
-4.3950000E+00,-158.7496E-03,-31.2500E-03
-4.3948000E+00,-314.9996E-03,-31.2500E-03
-4.3946000E+00,-314.9996E-03,-187.5000E-03
-4.3944000E+00,-158.7496E-03,-31.2500E-03
-4.3942000E+00,-314.9996E-03,-343.7500E-03
-4.3940000E+00,-314.9996E-03,-31.2500E-03
-4.3938000E+00,-158.7496E-03,-31.2500E-03
-4.3936000E+00,-158.7496E-03,-31.2500E-03
-4.3934000E+00,-158.7496E-03,-31.2500E-03
-4.3932000E+00,-158.7496E-03,-31.2500E-03
-4.3930000E+00,-158.7496E-03,+125.0000E-03
-4.3928000E+00,-314.9996E-03,+125.0000E-03
-4.3926000E+00,-314.9996E-03,-187.5000E-03
-4.3924000E+00,-158.7496E-03,-187.5000E-03
-4.3922000E+00,-158.7496E-03,-31.2500E-03
-4.3920000E+00,-314.9996E-03,-187.5000E-03
-4.3918000E+00,-314.9996E-03,+125.0000E-03
-4.3916000E+00,-158.7496E-03,-31.2500E-03
-4.3914000E+00,-158.7496E-03,-31.2500E-03
-4.3912000E+00,-158.7496E-03,-31.2500E-03
-4.3910000E+00,-314.9996E-03,-187.5000E-03
-4.3908000E+00,-2.4996E-03,-31.2500E-03
-4.3906000E+00,-158.7496E-03,+125.0000E-03
-4.3904000E+00,-314.9996E-03,-187.5000E-03
-4.3902000E+00,-158.7496E-03,-31.2500E-03
-4.3900000E+00,-314.9996E-03,-187.5000E-03
-4.3898000E+00,-158.7496E-03,+125.0000E-03
-4.3896000E+00,-158.7496E-03,-31.2500E-03
-4.3894000E+00,-158.7496E-03,-31.2500E-03
-4.3892000E+00,-158.7496E-03,-187.5000E-03
-4.3890000E+00,-158.7496E-03,-31.2500E-03
-4.3888000E+00,-158.7496E-03,-31.2500E-03
-4.3886000E+00,-314.9996E-03,-31.2500E-03
-4.3884000E+00,-158.7496E-03,-187.5000E-03
-4.3882000E+00,-158.7496E-03,-31.2500E-03
-4.3880000E+00,-158.7496E-03,-187.5000E-03
-4.3878000E+00,-158.7496E-03,-187.5000E-03
-4.3876000E+00,-314.9996E-03,-31.2500E-03
-4.3874000E+00,-158.7496E-03,+125.0000E-03
-4.3872000E+00,-314.9996E-03,-31.2500E-03
-4.3870000E+00,-314.9996E-03,-31.2500E-03
-4.3868000E+00,-314.9996E-03,-31.2500E-03
-4.3866000E+00,-314.9996E-03,-31.2500E-03
-4.3864000E+00,-158.7496E-03,-187.5000E-03
-4.3862000E+00,-314.9996E-03,-31.2500E-03
-4.3860000E+00,-158.7496E-03,-31.2500E-03
-4.3858000E+00,-314.9996E-03,-187.5000E-03
-4.3856000E+00,-158.7496E-03,-31.2500E-03
-4.3854000E+00,-158.7496E-03,-31.2500E-03
-4.3852000E+00,-314.9996E-03,-31.2500E-03
-4.3850000E+00,-158.7496E-03,-31.2500E-03
-4.3848000E+00,-158.7496E-03,-31.2500E-03
-4.3846000E+00,-314.9996E-03,-187.5000E-03
-4.3844000E+00,-314.9996E-03,-31.2500E-03
-4.3842000E+00,-158.7496E-03,-31.2500E-03
-4.3840000E+00,-314.9996E-03,-187.5000E-03
-4.3838000E+00,-314.9996E-03,+125.0000E-03
-4.3836000E+00,-158.7496E-03,-31.2500E-03
-4.3834000E+00,-314.9996E-03,-187.5000E-03
-4.3832000E+00,-158.7496E-03,-31.2500E-03
-4.3830000E+00,-158.7496E-03,-187.5000E-03
-4.3828000E+00,-158.7496E-03,-187.5000E-03
-4.3826000E+00,-158.7496E-03,-31.2500E-03
-4.3824000E+00,-158.7496E-03,-31.2500E-03
-4.3822000E+00,-314.9996E-03,-31.2500E-03
-4.3820000E+00,-158.7496E-03,-31.2500E-03
-4.3818000E+00,-158.7496E-03,-187.5000E-03
-4.3816000E+00,-158.7496E-03,-31.2500E-03
-4.3814000E+00,-314.9996E-03,-187.5000E-03
-4.3812000E+00,-314.9996E-03,-31.2500E-03
-4.3810000E+00,-314.9996E-03,-187.5000E-03
