x-axis,VREF,VDD1V2
second,Volt,Volt
-3.5978000E+00,-158.7496E-03,-31.2500E-03
-3.5977000E+00,-158.7496E-03,-187.5000E-03
-3.5976000E+00,-158.7496E-03,-31.2500E-03
-3.5975000E+00,-314.9996E-03,-187.5000E-03
-3.5974000E+00,-314.9996E-03,+125.0000E-03
-3.5973000E+00,-314.9996E-03,-31.2500E-03
-3.5972000E+00,-314.9996E-03,-31.2500E-03
-3.5971000E+00,-314.9996E-03,-31.2500E-03
-3.5970000E+00,-314.9996E-03,-187.5000E-03
-3.5969000E+00,-158.7496E-03,-31.2500E-03
-3.5968000E+00,-2.4996E-03,-31.2500E-03
-3.5967000E+00,-158.7496E-03,-31.2500E-03
-3.5966000E+00,-158.7496E-03,-31.2500E-03
-3.5965000E+00,-314.9996E-03,-31.2500E-03
-3.5964000E+00,-314.9996E-03,-31.2500E-03
-3.5963000E+00,-471.2496E-03,-187.5000E-03
-3.5962000E+00,-314.9996E-03,-31.2500E-03
-3.5961000E+00,-314.9996E-03,-31.2500E-03
-3.5960000E+00,-158.7496E-03,-31.2500E-03
-3.5959000E+00,-314.9996E-03,-187.5000E-03
-3.5958000E+00,-158.7496E-03,-31.2500E-03
-3.5957000E+00,-314.9996E-03,-31.2500E-03
-3.5956000E+00,-471.2496E-03,-187.5000E-03
-3.5955000E+00,-314.9996E-03,-187.5000E-03
-3.5954000E+00,-158.7496E-03,-31.2500E-03
-3.5953000E+00,-158.7496E-03,-31.2500E-03
-3.5952000E+00,-158.7496E-03,-31.2500E-03
-3.5951000E+00,-158.7496E-03,-31.2500E-03
-3.5950000E+00,-158.7496E-03,-31.2500E-03
-3.5949000E+00,-314.9996E-03,-31.2500E-03
-3.5948000E+00,-314.9996E-03,-31.2500E-03
-3.5947000E+00,-158.7496E-03,-31.2500E-03
-3.5946000E+00,-158.7496E-03,+125.0000E-03
-3.5945000E+00,-158.7496E-03,-187.5000E-03
-3.5944000E+00,-314.9996E-03,-31.2500E-03
-3.5943000E+00,-314.9996E-03,-31.2500E-03
-3.5942000E+00,-158.7496E-03,-31.2500E-03
-3.5941000E+00,-158.7496E-03,-31.2500E-03
-3.5940000E+00,-158.7496E-03,-31.2500E-03
-3.5939000E+00,-314.9996E-03,-187.5000E-03
-3.5938000E+00,-314.9996E-03,-31.2500E-03
-3.5937000E+00,-158.7496E-03,-31.2500E-03
-3.5936000E+00,-314.9996E-03,-187.5000E-03
-3.5935000E+00,-314.9996E-03,-31.2500E-03
-3.5934000E+00,-314.9996E-03,-31.2500E-03
-3.5933000E+00,-314.9996E-03,-31.2500E-03
-3.5932000E+00,-314.9996E-03,-187.5000E-03
-3.5931000E+00,-158.7496E-03,-31.2500E-03
-3.5930000E+00,-158.7496E-03,-31.2500E-03
-3.5929000E+00,-314.9996E-03,-31.2500E-03
-3.5928000E+00,-158.7496E-03,+125.0000E-03
-3.5927000E+00,-314.9996E-03,-187.5000E-03
-3.5926000E+00,-158.7496E-03,-31.2500E-03
-3.5925000E+00,-314.9996E-03,-31.2500E-03
-3.5924000E+00,-314.9996E-03,-187.5000E-03
-3.5923000E+00,-314.9996E-03,-31.2500E-03
-3.5922000E+00,-314.9996E-03,-187.5000E-03
-3.5921000E+00,-158.7496E-03,-31.2500E-03
-3.5920000E+00,-158.7496E-03,-31.2500E-03
-3.5919000E+00,-471.2496E-03,-187.5000E-03
-3.5918000E+00,-158.7496E-03,-31.2500E-03
-3.5917000E+00,-158.7496E-03,-31.2500E-03
-3.5916000E+00,-314.9996E-03,-187.5000E-03
-3.5915000E+00,-158.7496E-03,-31.2500E-03
-3.5914000E+00,-158.7496E-03,-31.2500E-03
-3.5913000E+00,-158.7496E-03,-31.2500E-03
-3.5912000E+00,-314.9996E-03,-31.2500E-03
-3.5911000E+00,-158.7496E-03,-31.2500E-03
-3.5910000E+00,-314.9996E-03,-31.2500E-03
-3.5909000E+00,-158.7496E-03,-31.2500E-03
-3.5908000E+00,-158.7496E-03,-31.2500E-03
-3.5907000E+00,-158.7496E-03,-31.2500E-03
-3.5906000E+00,-158.7496E-03,-31.2500E-03
-3.5905000E+00,-314.9996E-03,+125.0000E-03
-3.5904000E+00,-314.9996E-03,-187.5000E-03
-3.5903000E+00,-158.7496E-03,-31.2500E-03
-3.5902000E+00,-314.9996E-03,-187.5000E-03
-3.5901000E+00,-314.9996E-03,-31.2500E-03
-3.5900000E+00,-314.9996E-03,-31.2500E-03
-3.5899000E+00,-158.7496E-03,-187.5000E-03
-3.5898000E+00,-158.7496E-03,-31.2500E-03
-3.5897000E+00,-158.7496E-03,-31.2500E-03
-3.5896000E+00,-158.7496E-03,-31.2500E-03
-3.5895000E+00,-314.9996E-03,-187.5000E-03
-3.5894000E+00,-158.7496E-03,-31.2500E-03
-3.5893000E+00,-314.9996E-03,-31.2500E-03
-3.5892000E+00,-314.9996E-03,-31.2500E-03
-3.5891000E+00,-314.9996E-03,-31.2500E-03
-3.5890000E+00,-158.7496E-03,-343.7500E-03
-3.5889000E+00,-158.7496E-03,-31.2500E-03
-3.5888000E+00,-158.7496E-03,+125.0000E-03
-3.5887000E+00,-314.9996E-03,-187.5000E-03
-3.5886000E+00,-2.4996E-03,-31.2500E-03
-3.5885000E+00,-314.9996E-03,+125.0000E-03
-3.5884000E+00,-314.9996E-03,-31.2500E-03
-3.5883000E+00,-314.9996E-03,-187.5000E-03
-3.5882000E+00,-158.7496E-03,-31.2500E-03
-3.5881000E+00,-314.9996E-03,-31.2500E-03
-3.5880000E+00,-158.7496E-03,-31.2500E-03
-3.5879000E+00,-314.9996E-03,-31.2500E-03
-3.5878000E+00,-314.9996E-03,-31.2500E-03
-3.5877000E+00,-314.9996E-03,-187.5000E-03
-3.5876000E+00,-158.7496E-03,-187.5000E-03
-3.5875000E+00,-2.4996E-03,+125.0000E-03
-3.5874000E+00,+310.0004E-03,-31.2500E-03
-3.5873000E+00,+310.0004E-03,-187.5000E-03
-3.5872000E+00,+310.0004E-03,-31.2500E-03
